Dataset,Seed,AEVariant,Family,FamilyMetricCollapsed,CollapsedMetricValue,FamilyRowCountWithinSeed,MCC
CTU13,7,DVAE,CAUCHY,0.5517542052650442,0.5517542052650442,36,0.5517542052650442
CTU13,7,DVAE,CONST,0.5527349708164839,0.5527349708164839,9,0.5527349708164839
CTU13,7,DVAE,COSINE,0.551000402739052,0.551000402739052,36,0.551000402739052
CTU13,7,DVAE,EXPONENTIAL,0.5527325112850752,0.5527325112850752,36,0.5527325112850752
CTU13,7,DVAE,FIBONACCI,0.5519174525107067,0.5519174525107067,36,0.5519174525107067
CTU13,7,DVAE,LAPLACE,0.5512988213275183,0.5512988213275183,36,0.5512988213275183
CTU13,7,DVAE,LINEAR,0.5504239175847945,0.5504239175847945,36,0.5504239175847945
CTU13,7,DVAE,LOGISTIC,0.5507703628158203,0.5507703628158203,36,0.5507703628158203
CTU13,7,DVAE,SIGMOID,0.5503829222973498,0.5503829222973498,36,0.5503829222973498
CTU13,7,FF_DAE,CAUCHY,0.5727524052529445,0.5727524052529445,36,0.5727524052529445
CTU13,7,FF_DAE,CONST,0.5572714807930366,0.5572714807930366,9,0.5572714807930366
CTU13,7,FF_DAE,COSINE,0.570223962441766,0.570223962441766,36,0.570223962441766
CTU13,7,FF_DAE,EXPONENTIAL,0.5750446311633166,0.5750446311633166,36,0.5750446311633166
CTU13,7,FF_DAE,FIBONACCI,0.5723885382269093,0.5723885382269093,36,0.5723885382269093
CTU13,7,FF_DAE,LAPLACE,0.5762634931123146,0.5762634931123146,36,0.5762634931123146
CTU13,7,FF_DAE,LINEAR,0.5677881530020388,0.5677881530020388,36,0.5677881530020388
CTU13,7,FF_DAE,LOGISTIC,0.5700423964753456,0.5700423964753456,36,0.5700423964753456
CTU13,7,FF_DAE,SIGMOID,0.5667801747220036,0.5667801747220036,36,0.5667801747220036
CTU13,7,RES_DAE,CAUCHY,0.5941966809139075,0.5941966809139075,36,0.5941966809139075
CTU13,7,RES_DAE,CONST,0.4196093545225798,0.4196093545225798,9,0.4196093545225798
CTU13,7,RES_DAE,COSINE,0.5845864419837863,0.5845864419837863,36,0.5845864419837863
CTU13,7,RES_DAE,EXPONENTIAL,0.5927498917534261,0.5927498917534261,36,0.5927498917534261
CTU13,7,RES_DAE,FIBONACCI,0.5983588610930333,0.5983588610930333,36,0.5983588610930333
CTU13,7,RES_DAE,LAPLACE,0.588117095118313,0.588117095118313,36,0.588117095118313
CTU13,7,RES_DAE,LINEAR,0.5877834044770007,0.5877834044770007,36,0.5877834044770007
CTU13,7,RES_DAE,LOGISTIC,0.5833526620180643,0.5833526620180643,36,0.5833526620180643
CTU13,7,RES_DAE,SIGMOID,0.5870157965426441,0.5870157965426441,36,0.5870157965426441
CTU13,7,SPARSE_DAE,CAUCHY,0.4345537784662879,0.4345537784662879,36,0.4345537784662879
CTU13,7,SPARSE_DAE,CONST,0.4345537784662879,0.4345537784662879,9,0.4345537784662879
CTU13,7,SPARSE_DAE,COSINE,0.4345537784662879,0.4345537784662879,36,0.4345537784662879
CTU13,7,SPARSE_DAE,EXPONENTIAL,0.4345537784662879,0.4345537784662879,36,0.4345537784662879
CTU13,7,SPARSE_DAE,FIBONACCI,0.4346543022484562,0.4346543022484562,36,0.4346543022484562
CTU13,7,SPARSE_DAE,LAPLACE,0.4345537784662879,0.4345537784662879,36,0.4345537784662879
CTU13,7,SPARSE_DAE,LINEAR,0.4345537784662879,0.4345537784662879,36,0.4345537784662879
CTU13,7,SPARSE_DAE,LOGISTIC,0.4345537784662879,0.4345537784662879,36,0.4345537784662879
CTU13,7,SPARSE_DAE,SIGMOID,0.4345537784662879,0.4345537784662879,36,0.4345537784662879
CTU13,42,DVAE,CAUCHY,0.5597080064102997,0.5597080064102997,36,0.5597080064102997
CTU13,42,DVAE,CONST,0.5911994376006404,0.5911994376006404,9,0.5911994376006404
CTU13,42,DVAE,COSINE,0.5594409889911296,0.5594409889911296,36,0.5594409889911296
CTU13,42,DVAE,EXPONENTIAL,0.5646210760432899,0.5646210760432899,36,0.5646210760432899
CTU13,42,DVAE,FIBONACCI,0.5630291035884707,0.5630291035884707,36,0.5630291035884707
CTU13,42,DVAE,LAPLACE,0.5601859699518127,0.5601859699518127,36,0.5601859699518127
CTU13,42,DVAE,LINEAR,0.5594946263072631,0.5594946263072631,36,0.5594946263072631
CTU13,42,DVAE,LOGISTIC,0.559414028309897,0.559414028309897,36,0.559414028309897
