family_unit_used,AEVariant,group1,group2,meandiff,p_adj,lower,upper,reject
seed_median,DVAE,CAUCHY,CONST,0.0076,0.9803,-0.0188,0.034,False
seed_median,DVAE,CAUCHY,COSINE,-0.0005,1.0,-0.0269,0.0259,False
seed_median,DVAE,CAUCHY,EXPONENTIAL,-0.001,1.0,-0.0274,0.0254,False
seed_median,DVAE,CAUCHY,FIBONACCI,0.0003,1.0,-0.0261,0.0267,False
seed_median,DVAE,CAUCHY,LAPLACE,-0.0004,1.0,-0.0268,0.026,False
seed_median,DVAE,CAUCHY,LINEAR,-0.0009,1.0,-0.0273,0.0255,False
seed_median,DVAE,CAUCHY,LOGISTIC,-0.0007,1.0,-0.0271,0.0257,False
seed_median,DVAE,CAUCHY,SIGMOID,-0.001,1.0,-0.0273,0.0254,False
seed_median,DVAE,CONST,COSINE,-0.0081,0.9705,-0.0345,0.0183,False
seed_median,DVAE,CONST,EXPONENTIAL,-0.0086,0.9593,-0.035,0.0178,False
seed_median,DVAE,CONST,FIBONACCI,-0.0073,0.9846,-0.0337,0.0191,False
seed_median,DVAE,CONST,LAPLACE,-0.008,0.9727,-0.0344,0.0184,False
seed_median,DVAE,CONST,LINEAR,-0.0084,0.9632,-0.0348,0.018,False
seed_median,DVAE,CONST,LOGISTIC,-0.0083,0.9671,-0.0347,0.0181,False
seed_median,DVAE,CONST,SIGMOID,-0.0085,0.9609,-0.0349,0.0179,False
seed_median,DVAE,COSINE,EXPONENTIAL,-0.0005,1.0,-0.0269,0.0259,False
seed_median,DVAE,COSINE,FIBONACCI,0.0008,1.0,-0.0256,0.0272,False
seed_median,DVAE,COSINE,LAPLACE,0.0001,1.0,-0.0263,0.0265,False
seed_median,DVAE,COSINE,LINEAR,-0.0003,1.0,-0.0267,0.0261,False
seed_median,DVAE,COSINE,LOGISTIC,-0.0002,1.0,-0.0265,0.0262,False
seed_median,DVAE,COSINE,SIGMOID,-0.0004,1.0,-0.0268,0.026,False
seed_median,DVAE,EXPONENTIAL,FIBONACCI,0.0013,1.0,-0.0251,0.0277,False
seed_median,DVAE,EXPONENTIAL,LAPLACE,0.0006,1.0,-0.0258,0.027,False
seed_median,DVAE,EXPONENTIAL,LINEAR,0.0002,1.0,-0.0262,0.0265,False
seed_median,DVAE,EXPONENTIAL,LOGISTIC,0.0003,1.0,-0.0261,0.0267,False
seed_median,DVAE,EXPONENTIAL,SIGMOID,0.0001,1.0,-0.0263,0.0265,False
seed_median,DVAE,FIBONACCI,LAPLACE,-0.0007,1.0,-0.0271,0.0257,False
seed_median,DVAE,FIBONACCI,LINEAR,-0.0012,1.0,-0.0276,0.0252,False
seed_median,DVAE,FIBONACCI,LOGISTIC,-0.001,1.0,-0.0274,0.0254,False
seed_median,DVAE,FIBONACCI,SIGMOID,-0.0013,1.0,-0.0276,0.0251,False
seed_median,DVAE,LAPLACE,LINEAR,-0.0004,1.0,-0.0268,0.026,False
seed_median,DVAE,LAPLACE,LOGISTIC,-0.0003,1.0,-0.0267,0.0261,False
seed_median,DVAE,LAPLACE,SIGMOID,-0.0005,1.0,-0.0269,0.0259,False
seed_median,DVAE,LINEAR,LOGISTIC,0.0002,1.0,-0.0262,0.0266,False
seed_median,DVAE,LINEAR,SIGMOID,-0.0001,1.0,-0.0265,0.0263,False
seed_median,DVAE,LOGISTIC,SIGMOID,-0.0003,1.0,-0.0267,0.0261,False
