family_unit_used,AEVariant,group1,group2,meandiff,p_adj,lower,upper,reject
seed_median,FF_DAE,CAUCHY,CONST,-0.0094,0.8098,-0.0305,0.0117,False
seed_median,FF_DAE,CAUCHY,COSINE,-0.0027,0.9999,-0.0238,0.0184,False
seed_median,FF_DAE,CAUCHY,EXPONENTIAL,0.0036,0.9994,-0.0175,0.0247,False
seed_median,FF_DAE,CAUCHY,FIBONACCI,0.0018,1.0,-0.0193,0.0229,False
seed_median,FF_DAE,CAUCHY,LAPLACE,0.0016,1.0,-0.0195,0.0227,False
seed_median,FF_DAE,CAUCHY,LINEAR,-0.0029,0.9999,-0.024,0.0182,False
seed_median,FF_DAE,CAUCHY,LOGISTIC,-0.0021,1.0,-0.0232,0.019,False
seed_median,FF_DAE,CAUCHY,SIGMOID,-0.002,1.0,-0.0231,0.0191,False
seed_median,FF_DAE,CONST,COSINE,0.0068,0.9621,-0.0143,0.0279,False
seed_median,FF_DAE,CONST,EXPONENTIAL,0.0131,0.4621,-0.008,0.0342,False
seed_median,FF_DAE,CONST,FIBONACCI,0.0112,0.6415,-0.0099,0.0323,False
seed_median,FF_DAE,CONST,LAPLACE,0.0111,0.6601,-0.01,0.0322,False
seed_median,FF_DAE,CONST,LINEAR,0.0065,0.9701,-0.0146,0.0276,False
seed_median,FF_DAE,CONST,LOGISTIC,0.0073,0.9417,-0.0138,0.0284,False
seed_median,FF_DAE,CONST,SIGMOID,0.0074,0.9374,-0.0137,0.0285,False
seed_median,FF_DAE,COSINE,EXPONENTIAL,0.0063,0.9755,-0.0148,0.0274,False
seed_median,FF_DAE,COSINE,FIBONACCI,0.0045,0.9972,-0.0166,0.0256,False
seed_median,FF_DAE,COSINE,LAPLACE,0.0043,0.9979,-0.0168,0.0254,False
seed_median,FF_DAE,COSINE,LINEAR,-0.0003,1.0,-0.0214,0.0208,False
seed_median,FF_DAE,COSINE,LOGISTIC,0.0006,1.0,-0.0205,0.0217,False
seed_median,FF_DAE,COSINE,SIGMOID,0.0007,1.0,-0.0204,0.0218,False
seed_median,FF_DAE,EXPONENTIAL,FIBONACCI,-0.0018,1.0,-0.0229,0.0193,False
seed_median,FF_DAE,EXPONENTIAL,LAPLACE,-0.002,1.0,-0.0231,0.0191,False
seed_median,FF_DAE,EXPONENTIAL,LINEAR,-0.0066,0.9685,-0.0277,0.0145,False
seed_median,FF_DAE,EXPONENTIAL,LOGISTIC,-0.0057,0.9861,-0.0268,0.0154,False
seed_median,FF_DAE,EXPONENTIAL,SIGMOID,-0.0056,0.9875,-0.0267,0.0155,False
seed_median,FF_DAE,FIBONACCI,LAPLACE,-0.0002,1.0,-0.0213,0.0209,False
seed_median,FF_DAE,FIBONACCI,LINEAR,-0.0047,0.9958,-0.0258,0.0164,False
seed_median,FF_DAE,FIBONACCI,LOGISTIC,-0.0039,0.9989,-0.025,0.0172,False
seed_median,FF_DAE,FIBONACCI,SIGMOID,-0.0038,0.9991,-0.0249,0.0173,False
seed_median,FF_DAE,LAPLACE,LINEAR,-0.0046,0.9968,-0.0257,0.0165,False
seed_median,FF_DAE,LAPLACE,LOGISTIC,-0.0037,0.9992,-0.0248,0.0174,False
seed_median,FF_DAE,LAPLACE,SIGMOID,-0.0036,0.9994,-0.0247,0.0175,False
seed_median,FF_DAE,LINEAR,LOGISTIC,0.0008,1.0,-0.0203,0.0219,False
seed_median,FF_DAE,LINEAR,SIGMOID,0.0009,1.0,-0.0202,0.022,False
seed_median,FF_DAE,LOGISTIC,SIGMOID,0.0001,1.0,-0.021,0.0212,False
