family_unit_used,AEVariant,group1,group2,meandiff,p_adj,lower,upper,reject
seed_median,RES_DAE,CAUCHY,CONST,-0.0669,0.2117,-0.1533,0.0196,False
seed_median,RES_DAE,CAUCHY,COSINE,-0.0002,1.0,-0.0867,0.0862,False
seed_median,RES_DAE,CAUCHY,EXPONENTIAL,0.0024,1.0,-0.084,0.0889,False
seed_median,RES_DAE,CAUCHY,FIBONACCI,-0.0003,1.0,-0.0867,0.0862,False
seed_median,RES_DAE,CAUCHY,LAPLACE,0.0003,1.0,-0.0862,0.0867,False
seed_median,RES_DAE,CAUCHY,LINEAR,0.0004,1.0,-0.0861,0.0869,False
seed_median,RES_DAE,CAUCHY,LOGISTIC,-0.0003,1.0,-0.0868,0.0862,False
seed_median,RES_DAE,CAUCHY,SIGMOID,-0.0005,1.0,-0.0869,0.086,False
seed_median,RES_DAE,CONST,COSINE,0.0666,0.2152,-0.0199,0.1531,False
seed_median,RES_DAE,CONST,EXPONENTIAL,0.0693,0.1796,-0.0172,0.1558,False
seed_median,RES_DAE,CONST,FIBONACCI,0.0666,0.2153,-0.0199,0.1531,False
seed_median,RES_DAE,CONST,LAPLACE,0.0671,0.2082,-0.0194,0.1536,False
seed_median,RES_DAE,CONST,LINEAR,0.0673,0.2061,-0.0192,0.1537,False
seed_median,RES_DAE,CONST,LOGISTIC,0.0665,0.2161,-0.0199,0.153,False
seed_median,RES_DAE,CONST,SIGMOID,0.0664,0.2185,-0.0201,0.1529,False
seed_median,RES_DAE,COSINE,EXPONENTIAL,0.0027,1.0,-0.0838,0.0892,False
seed_median,RES_DAE,COSINE,FIBONACCI,-0.0,1.0,-0.0865,0.0865,False
seed_median,RES_DAE,COSINE,LAPLACE,0.0005,1.0,-0.086,0.087,False
seed_median,RES_DAE,COSINE,LINEAR,0.0007,1.0,-0.0858,0.0871,False
seed_median,RES_DAE,COSINE,LOGISTIC,-0.0001,1.0,-0.0865,0.0864,False
seed_median,RES_DAE,COSINE,SIGMOID,-0.0002,1.0,-0.0867,0.0862,False
seed_median,RES_DAE,EXPONENTIAL,FIBONACCI,-0.0027,1.0,-0.0892,0.0838,False
seed_median,RES_DAE,EXPONENTIAL,LAPLACE,-0.0022,1.0,-0.0887,0.0843,False
seed_median,RES_DAE,EXPONENTIAL,LINEAR,-0.002,1.0,-0.0885,0.0844,False
seed_median,RES_DAE,EXPONENTIAL,LOGISTIC,-0.0028,1.0,-0.0892,0.0837,False
seed_median,RES_DAE,EXPONENTIAL,SIGMOID,-0.0029,1.0,-0.0894,0.0835,False
seed_median,RES_DAE,FIBONACCI,LAPLACE,0.0005,1.0,-0.086,0.087,False
seed_median,RES_DAE,FIBONACCI,LINEAR,0.0007,1.0,-0.0858,0.0871,False
seed_median,RES_DAE,FIBONACCI,LOGISTIC,-0.0001,1.0,-0.0865,0.0864,False
seed_median,RES_DAE,FIBONACCI,SIGMOID,-0.0002,1.0,-0.0867,0.0862,False
seed_median,RES_DAE,LAPLACE,LINEAR,0.0002,1.0,-0.0863,0.0866,False
seed_median,RES_DAE,LAPLACE,LOGISTIC,-0.0006,1.0,-0.087,0.0859,False
seed_median,RES_DAE,LAPLACE,SIGMOID,-0.0007,1.0,-0.0872,0.0857,False
seed_median,RES_DAE,LINEAR,LOGISTIC,-0.0007,1.0,-0.0872,0.0858,False
seed_median,RES_DAE,LINEAR,SIGMOID,-0.0009,1.0,-0.0874,0.0856,False
seed_median,RES_DAE,LOGISTIC,SIGMOID,-0.0002,1.0,-0.0866,0.0863,False
