family_unit_used,AEVariant,group1,group2,meandiff,p_adj,lower,upper,reject
seed_median,SPARSE_DAE,CAUCHY,CONST,0.0003,1.0,-0.1091,0.1096,False
seed_median,SPARSE_DAE,CAUCHY,COSINE,0.0003,1.0,-0.1091,0.1096,False
seed_median,SPARSE_DAE,CAUCHY,EXPONENTIAL,-0.0004,1.0,-0.1097,0.1089,False
seed_median,SPARSE_DAE,CAUCHY,FIBONACCI,-0.0006,1.0,-0.1099,0.1087,False
seed_median,SPARSE_DAE,CAUCHY,LAPLACE,0.0,1.0,-0.1093,0.1093,False
seed_median,SPARSE_DAE,CAUCHY,LINEAR,-0.0,1.0,-0.1094,0.1093,False
seed_median,SPARSE_DAE,CAUCHY,LOGISTIC,0.0003,1.0,-0.1091,0.1096,False
seed_median,SPARSE_DAE,CAUCHY,SIGMOID,0.0003,1.0,-0.1091,0.1096,False
seed_median,SPARSE_DAE,CONST,COSINE,0.0,1.0,-0.1093,0.1093,False
seed_median,SPARSE_DAE,CONST,EXPONENTIAL,-0.0006,1.0,-0.1099,0.1087,False
seed_median,SPARSE_DAE,CONST,FIBONACCI,-0.0009,1.0,-0.1102,0.1085,False
seed_median,SPARSE_DAE,CONST,LAPLACE,-0.0002,1.0,-0.1095,0.1091,False
seed_median,SPARSE_DAE,CONST,LINEAR,-0.0003,1.0,-0.1096,0.109,False
seed_median,SPARSE_DAE,CONST,LOGISTIC,0.0,1.0,-0.1093,0.1093,False
seed_median,SPARSE_DAE,CONST,SIGMOID,0.0,1.0,-0.1093,0.1093,False
seed_median,SPARSE_DAE,COSINE,EXPONENTIAL,-0.0006,1.0,-0.1099,0.1087,False
seed_median,SPARSE_DAE,COSINE,FIBONACCI,-0.0009,1.0,-0.1102,0.1085,False
seed_median,SPARSE_DAE,COSINE,LAPLACE,-0.0002,1.0,-0.1095,0.1091,False
seed_median,SPARSE_DAE,COSINE,LINEAR,-0.0003,1.0,-0.1096,0.109,False
seed_median,SPARSE_DAE,COSINE,LOGISTIC,0.0,1.0,-0.1093,0.1093,False
seed_median,SPARSE_DAE,COSINE,SIGMOID,0.0,1.0,-0.1093,0.1093,False
seed_median,SPARSE_DAE,EXPONENTIAL,FIBONACCI,-0.0002,1.0,-0.1095,0.1091,False
seed_median,SPARSE_DAE,EXPONENTIAL,LAPLACE,0.0004,1.0,-0.1089,0.1097,False
seed_median,SPARSE_DAE,EXPONENTIAL,LINEAR,0.0003,1.0,-0.109,0.1096,False
seed_median,SPARSE_DAE,EXPONENTIAL,LOGISTIC,0.0006,1.0,-0.1087,0.1099,False
seed_median,SPARSE_DAE,EXPONENTIAL,SIGMOID,0.0006,1.0,-0.1087,0.1099,False
seed_median,SPARSE_DAE,FIBONACCI,LAPLACE,0.0006,1.0,-0.1087,0.11,False
seed_median,SPARSE_DAE,FIBONACCI,LINEAR,0.0006,1.0,-0.1087,0.1099,False
seed_median,SPARSE_DAE,FIBONACCI,LOGISTIC,0.0009,1.0,-0.1085,0.1102,False
seed_median,SPARSE_DAE,FIBONACCI,SIGMOID,0.0009,1.0,-0.1085,0.1102,False
seed_median,SPARSE_DAE,LAPLACE,LINEAR,-0.0001,1.0,-0.1094,0.1092,False
seed_median,SPARSE_DAE,LAPLACE,LOGISTIC,0.0002,1.0,-0.1091,0.1095,False
seed_median,SPARSE_DAE,LAPLACE,SIGMOID,0.0002,1.0,-0.1091,0.1095,False
seed_median,SPARSE_DAE,LINEAR,LOGISTIC,0.0003,1.0,-0.109,0.1096,False
seed_median,SPARSE_DAE,LINEAR,SIGMOID,0.0003,1.0,-0.109,0.1096,False
seed_median,SPARSE_DAE,LOGISTIC,SIGMOID,0.0,1.0,-0.1093,0.1093,False
