Dataset,Seed,AEVariant,PairCoreID,Family,DecayConfigID,DecayRangeName,NoiseType,SelectionMetric,SigmaStart,SigmaEnd,SigmaMin,DecayRate,MCC_decay,MCC_const_median,MCC_const_mean,delta_MCC_vs_const_median,delta_MCC_vs_const_mean,F1_Score_decay,F1_Score_const_median,F1_Score_const_mean,delta_F1_Score_vs_const_median,delta_F1_Score_vs_const_mean,PR_AUC_decay,PR_AUC_const_median,PR_AUC_const_mean,delta_PR_AUC_vs_const_median,delta_PR_AUC_vs_const_mean,ROC_AUC_decay,ROC_AUC_const_median,ROC_AUC_const_mean,delta_ROC_AUC_vs_const_median,delta_ROC_AUC_vs_const_mean,Accuracy_decay,Accuracy_const_median,Accuracy_const_mean,delta_Accuracy_vs_const_median,delta_Accuracy_vs_const_mean,const_rows_collapsed,const_collapse_method_primary
CTU13,123,DVAE,"Dataset=CTU13|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(48, 32)|DecUnits=(32, 48)|Latent=16|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",LINEAR,DVAE_LINEAR_R1_gaussian_seed123,R1,gaussian,MCC,0.9,0.8,,,0.5409044804615415,0.5489656478567345,0.5536098791131461,-0.008061167395193025,-0.012705398651604582,0.6751035075384736,0.727755291619667,0.7179371188850018,-0.05265178408119342,-0.04283361134652819,0.7868331383016832,0.7904198212888175,0.7925726438951133,-0.003586682987134271,-0.005739505593430061,0.8098058884774204,0.8075585813878071,0.8147074945662787,0.002247307089613293,-0.004901606088858257,0.7744943881147319,0.7792116250067777,0.7817600173507563,-0.004717236892045729,-0.007265629236024362,9,paired_delta_basis_configurable
CTU13,123,DVAE,"Dataset=CTU13|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(48, 32)|DecUnits=(32, 48)|Latent=16|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",EXPONENTIAL,DVAE_EXP_R1_gaussian_seed123,R1,gaussian,MCC,0.9,,0.8,3.0,0.541266254532333,0.5489656478567345,0.5536098791131461,-0.0076993933244015045,-0.012343624580813062,0.6661883122060113,0.727755291619667,0.7179371188850018,-0.06156697941365574,-0.05174880667899051,0.7846803082200791,0.7904198212888175,0.7925726438951133,-0.005739513068738433,-0.007892335675034223,0.807536007276638,0.8075585813878071,0.8147074945662787,-2.2574111169126887e-05,-0.007171487289640677,0.772976196931085,0.7792116250067777,0.7817600173507563,-0.006235428075692662,-0.008783820419671295,9,paired_delta_basis_configurable
CTU13,123,DVAE,"Dataset=CTU13|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(48, 32)|DecUnits=(32, 48)|Latent=16|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",COSINE,DVAE_COSINE_R1_gaussian_seed123,R1,gaussian,MCC,0.9,0.8,,,0.5412603579159536,0.5489656478567345,0.5536098791131461,-0.007705289940780902,-0.012349521197192459,0.6753632244961726,0.727755291619667,0.7179371188850018,-0.052392067123494424,-0.04257389438882919,0.7871370094759582,0.7904198212888175,0.7925726438951133,-0.0032828118128592765,-0.0054356344191550665,0.8102100797486611,0.8075585813878071,0.8147074945662787,0.0026514983608539877,-0.004497414817617562,0.7746570514558369,0.7792116250067777,0.7817600173507563,-0.004554573550940799,-0.007102965894919433,9,paired_delta_basis_configurable
CTU13,123,DVAE,"Dataset=CTU13|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(48, 32)|DecUnits=(32, 48)|Latent=16|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",FIBONACCI,DVAE_FIB_R1_gaussian_seed123,R1,gaussian,MCC,0.9,0.8,,,0.541015918520752,0.5489656478567345,0.5536098791131461,-0.00794972933598248,-0.012593960592394038,0.6660288607191261,0.727755291619667,0.7179371188850018,-0.06172643090054086,-0.05190825816587563,0.7852363349574908,0.7904198212888175,0.7925726438951133,-0.005183486331326703,-0.007336308937622493,0.8084835948260427,0.8075585813878071,0.8147074945662787,0.000925013438235589,-0.006223899740235961,0.7728677547036816,0.7792116250067777,0.7817600173507563,-0.006343870303096022,-0.008892262647074656,9,paired_delta_basis_configurable
CTU13,123,DVAE,"Dataset=CTU13|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(48, 32)|DecUnits=(32, 48)|Latent=16|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",SIGMOID,DVAE_SIGMOID_R1_gaussian_seed123,R1,gaussian,MCC,0.9,0.8,,,0.5412603579159536,0.5489656478567345,0.5536098791131461,-0.007705289940780902,-0.012349521197192459,0.6753632244961726,0.727755291619667,0.7179371188850018,-0.052392067123494424,-0.04257389438882919,0.7870020164708249,0.7904198212888175,0.7925726438951133,-0.003417804817992587,-0.005570627424288377,0.8100228594865638,0.8075585813878071,0.8147074945662787,0.0024642780987567114,-0.004684635079714838,0.7746570514558369,0.7792116250067777,0.7817600173507563,-0.004554573550940799,-0.007102965894919433,9,paired_delta_basis_configurable
CTU13,123,DVAE,"Dataset=CTU13|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(48, 32)|DecUnits=(32, 48)|Latent=16|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",CAUCHY,DVAE_CAUCHY_R1_gaussian_seed123,R1,gaussian,MCC,0.9,0.8,,,0.5414260591595939,0.5489656478567345,0.5536098791131461,-0.0075395886971406645,-0.012183819953552222,0.6756714553404122,0.727755291619667,0.7179371188850018,-0.052083836279254836,-0.042265663544589605,0.7867255366538115,0.7904198212888175,0.7925726438951133,-0.0036942846350059844,-0.005847107241301774,0.8097768318541134,0.8075585813878071,0.8147074945662787,0.002218250466306304,-0.004930662712165246,0.7747654936832402,0.7792116250067777,0.7817600173507563,-0.004446131323537439,-0.006994523667516073,9,paired_delta_basis_configurable
CTU13,123,DVAE,"Dataset=CTU13|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(48, 32)|DecUnits=(32, 48)|Latent=16|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",LAPLACE,DVAE_LAPLACE_R1_gaussian_seed123,R1,gaussian,MCC,0.9,0.8,,,0.5410702626829401,0.5489656478567345,0.5536098791131461,-0.0078953851737944,-0.012539616430205958,0.6754118841258687,0.727755291619667,0.7179371188850018,-0.05234340749379829,-0.04252523475913306,0.7860931365710367,0.7904198212888175,0.7925726438951133,-0.004326684717780749,-0.006479507324076539,0.8091824808576366,0.8075585813878071,0.8147074945662787,0.0016238994698294373,-0.0055250137086421125,0.7746028303421352,0.7792116250067777,0.7817600173507563,-0.004608794664642479,-0.007157187008621113,9,paired_delta_basis_configurable
CTU13,123,DVAE,"Dataset=CTU13|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(48, 32)|DecUnits=(32, 48)|Latent=16|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",LOGISTIC,DVAE_LOGISTIC_R1_gaussian_seed123,R1,gaussian,MCC,0.9,0.8,,,0.5413969061861115,0.5489656478567345,0.5536098791131461,-0.007568741670623047,-0.012212972927034604,0.6754159831263182,0.727755291619667,0.7179371188850018,-0.05233930849334878,-0.04252113575868355,0.7869547525686498,0.7904198212888175,0.7925726438951133,-0.003465068720167719,-0.005617891326463509,0.810005910795611,0.8075585813878071,0.8147074945662787,0.0024473294078039,-0.00470158377066765,0.7747112725695385,0.7792116250067777,0.7817600173507563,-0.004500352437239119,-0.007048744781217753,9,paired_delta_basis_configurable
CTU13,123,DVAE,"Dataset=CTU13|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(48, 32)|DecUnits=(32, 48)|Latent=16|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",LINEAR,DVAE_LINEAR_R2_gaussian_seed123,R2,gaussian,MCC,0.9,0.7,,,0.5439411095380535,0.5489656478567345,0.5536098791131461,-0.005024538318680993,-0.00966876957509255,0.7303772336201192,0.727755291619667,0.7179371188850018,0.002621942000452182,0.012440114735117414,0.7940286108013329,0.7904198212888175,0.7925726438951133,0.00360878951251542,0.00145596690621963,0.8167080436845507,0.8075585813878071,0.8147074945662787,0.009149462296743627,0.002000549118272077,0.7791031827793743,0.7792116250067777,0.7817600173507563,-0.00010844222740336029,-0.002656834571381994,9,paired_delta_basis_configurable
CTU13,123,DVAE,"Dataset=CTU13|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(48, 32)|DecUnits=(32, 48)|Latent=16|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",EXPONENTIAL,DVAE_EXP_R2_gaussian_seed123,R2,gaussian,MCC,0.9,,0.7,3.0,0.5450633320427491,0.5489656478567345,0.5536098791131461,-0.0039023158139853686,-0.008546547070396926,0.6781142678738682,0.727755291619667,0.7179371188850018,-0.04964102374579882,-0.039822851011133586,0.7916651859897801,0.7904198212888175,0.7925726438951133,0.0012453647009625923,-0.0009074579053331977,0.8142383815999216,0.8075585813878071,0.8147074945662787,0.006679800212114451,-0.0004691129663570992,0.7763921270942905,0.7792116250067777,0.7817600173507563,-0.0028194979124871455,-0.005367890256465779,9,paired_delta_basis_configurable
