Family,AEVariant,metric,delta_column,paired_delta_basis_used,n_pairs,mean_delta_MCC,median_delta_MCC,std_delta_MCC,min_delta_MCC,max_delta_MCC,positive_delta_count,negative_delta_count,zero_delta_count,win_rate_vs_const,test_name,p_value,effect_size,improves_vs_const,inferential_note,mean_delta_MCC_ci_low,mean_delta_MCC_ci_high,median_delta_MCC_ci_low,median_delta_MCC_ci_high,mean_delta_Accuracy,mean_delta_F1_Score,mean_delta_ROC_AUC,mean_delta_PR_AUC,holm_p_value,bh_p_value,significant_holm,significant_bh
EXPONENTIAL,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.05442181667677461,0.025595545707909118,0.0892049673638347,-0.21567213222459086,0.21616865039126126,81,27,0,0.75,wilcoxon_signed_rank_greater,6.560167938621446e-10,0.6100760785461384,True,,0.038010729831004335,0.07303457255759015,0.017766495071656396,0.040992910715910214,0.023577649655294304,0.0844993044847005,0.05111267465980689,0.033035912826731316,2.0992537403588627e-08,2.0992537403588627e-08,True,True
FIBONACCI,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.05329150863288486,0.025477648401865116,0.09009469318325658,-0.21371634240088427,0.21891617325566487,78,30,0,0.7222222222222222,wilcoxon_signed_rank_greater,5.150841674963354e-09,0.5915055232376014,True,,0.0366781626434131,0.07226076192967965,0.01675647163616959,0.04564944711482913,0.023075602306204715,0.08111356359838215,0.048691595003446955,0.03171925586055359,1.5967609192386396e-07,5.543764088935721e-08,True,True
CAUCHY,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.05135760460262948,0.024500828543935482,0.09095680831950549,-0.21310973483039108,0.21967556048983522,78,30,0,0.7222222222222222,wilcoxon_signed_rank_greater,1.721668761315017e-08,0.5646372773070503,True,,0.03549473908159498,0.07045578210824957,0.018541922139719835,0.03190923873556761,0.02563353354981616,0.07903404313501522,0.039833927252622955,0.027940810264070224,4.476338779419044e-07,7.51311168816655e-08,True,True
LOGISTIC,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.051155244113404365,0.02933636869583134,0.09273506119731627,-0.21325095413238648,0.22415907243353356,80,28,0,0.7407407407407407,wilcoxon_signed_rank_greater,8.662131388962064e-09,0.5516278681695975,True,,0.034419171815288016,0.06908651587952316,0.0210316606969978,0.0553231774553582,0.025560736684198164,0.07821049445185183,0.03433662826891435,0.025447548104637122,2.425396788909378e-07,5.543764088935721e-08,True,True
SIGMOID,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.051060113350430425,0.02783997050909015,0.09343629026432218,-0.21337561253955917,0.22436087634767615,80,28,0,0.7407407407407407,wilcoxon_signed_rank_greater,1.2341444885256807e-08,0.5464698267176474,True,,0.03423937928093413,0.06880389335162886,0.02053287825855729,0.052390355740349503,0.025284610642198897,0.07880470758951573,0.034641439116911026,0.025634828441791036,3.332190119019338e-07,6.58210393880363e-08,True,True
LAPLACE,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.050947120914263906,0.023238609580526703,0.08858792408130184,-0.21296829023607838,0.22038615110734255,82,26,0,0.7592592592592593,wilcoxon_signed_rank_greater,7.377734333542619e-09,0.5751023228282438,True,,0.034954196486274305,0.06895835974375035,0.017561781359308692,0.028579421393224558,0.024413558491528466,0.07919144871848639,0.040225450131411614,0.028004026147368213,2.2133203000627857e-07,5.543764088935721e-08,True,True
COSINE,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.0505136811966684,0.027671058747709143,0.09343917805949475,-0.21387450966705795,0.22060041366132538,80,28,0,0.7407407407407407,wilcoxon_signed_rank_greater,1.8782779220416375e-08,0.5406049394394783,True,,0.0335886789511813,0.06820730096340896,0.01837204662005376,0.057952141120054645,0.02512696777458476,0.07789866651743692,0.03434517468815191,0.0253584975073381,4.6956948051040936e-07,7.51311168816655e-08,True,True
LINEAR,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.04851709464223405,0.02741807227350962,0.09089248652718579,-0.21325095413238648,0.21861879436856996,81,27,0,0.75,wilcoxon_signed_rank_greater,8.06651463459332e-09,0.5337855360265547,True,,0.031962664894384055,0.06609410109453936,0.019747887609705743,0.040434132680809275,0.023787003399864674,0.07670179640106564,0.03400824844269832,0.02532821030887135,2.3392892440320628e-07,5.543764088935721e-08,True,True
EXPONENTIAL,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.015029680424245906,0.01649574260122494,0.03360047557567466,-0.0652918784580322,0.09301783202617164,70,38,0,0.6481481481481481,wilcoxon_signed_rank_greater,2.3148567748941108e-05,0.44730558619472227,True,,0.008923309736890022,0.021779497859566465,0.009534346859945086,0.02139395525514656,-0.0009880291830083074,0.02447145528405977,0.01720524666666759,-0.007211399686221758,0.0005555656259745866,8.230601866290172e-05,True,True
LAPLACE,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.013421777025702155,0.01616868673141747,0.032564281630417045,-0.05791486531377227,0.08785288092632315,68,40,0,0.6296296296296297,wilcoxon_signed_rank_greater,8.464157763459665e-05,0.41216253985327367,True,,0.007296156010898749,0.019833991632877458,0.006517592710647779,0.020050233224221448,-0.0008394231676777911,0.02573951320529049,0.01750403227854882,-0.005670883986240512,0.001946756285595723,0.0002554410185149228,True,True
CAUCHY,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.01326205561012163,0.013308198120595083,0.032460651280771136,-0.04795773204055753,0.09247541542589743,69,39,0,0.6388888888888888,wilcoxon_signed_rank_greater,0.00012176234366187714,0.40855790276670073,True,,0.007410888037059884,0.019663527078835435,0.00801598131122444,0.017909384828680153,-0.0002133701233630726,0.02523127264017578,0.01888633274656828,-0.004625201154827615,0.00255700921689942,0.00032469958309833905,True,True
FIBONACCI,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.012670234386209837,0.015232891502865165,0.03174505198239282,-0.05674185219020367,0.0846725995583344,69,39,0,0.6388888888888888,wilcoxon_signed_rank_greater,8.78078501145047e-05,0.3991247011609297,True,,0.007020734861496645,0.019006630255927234,0.007634735941691062,0.01971813164865116,-0.0014072387194981103,0.02325718061396918,0.014646516546890162,-0.009899105900590201,0.001946756285595723,0.0002554410185149228,True,True
SIGMOID,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.011470551924554628,0.010787870953338607,0.03410223781176969,-0.0468119448900195,0.09104149171790121,65,43,0,0.6018518518518519,wilcoxon_signed_rank_greater,0.001346470820486138,0.3363577483545507,True,,0.005634755534780894,0.017987304747861605,0.006863440891976763,0.016464373606392746,-0.000675253684525492,0.024787994671534593,0.01819302143891899,-0.005334127329370114,0.02692941640972276,0.0033143897119658782,True,True
LINEAR,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.010856082636325969,0.00941944463004718,0.03238518808263886,-0.04520058048174058,0.09392342287763178,66,42,0,0.6111111111111112,wilcoxon_signed_rank_greater,0.0024714208594990373,0.3352175262434406,True,,0.005247368500733069,0.01699207028511135,0.0034970121898004747,0.015154114346961728,-0.0004925084494568869,0.02439847606853662,0.016346124021287337,-0.005921616213775927,0.04607006198176751,0.005272364500264613,True,True
COSINE,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.010633259025213525,0.010003606871324955,0.03303055164646565,-0.04624946125421059,0.09324166034953318,67,41,0,0.6203703703703703,wilcoxon_signed_rank_greater,0.002424740104303553,0.32192193272162284,True,,0.004843349359820241,0.01706127469514554,0.0053079625825976605,0.016320043568987586,-0.0008369129309323429,0.023329350601528128,0.01782500333228409,-0.00509051681548196,0.04607006198176751,0.005272364500264613,True,True
LOGISTIC,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.010509739457984975,0.00973222761553405,0.033480260805025266,-0.04624946125421059,0.0930188489567807,67,41,0,0.6203703703703703,wilcoxon_signed_rank_greater,0.0036257898005155192,0.3139085301298965,True,,0.004432190403407657,0.01685395765287064,0.005679700460831216,0.01518600213603949,-0.001099985741855286,0.02325899515551935,0.017623368971328542,-0.005379841957517432,0.06163842660876383,0.0072515796010310385,False,True
SIGMOID,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,4.1933982833783664e-05,0.0,0.0010383634262067262,-0.0026404505297716874,0.0023355565058483796,44,22,42,0.4074074074074074,wilcoxon_signed_rank_greater,0.02616936170980114,0.05153341621377675,True,,-0.00014166296567965164,0.0002276620573349744,0.0,2.168920978140587e-05,-0.0006069752450493166,0.00037800181073379926,-0.00029009055357337134,-0.00013165771634486928,0.41870978735681824,0.04925997498315508,False,True
