Dataset,Seed,AEVariant,Family,FamilyMetricCollapsed,CollapsedMetricValue,FamilyRowCountWithinSeed,MCC
HIKARI2021,7,DVAE,CAUCHY,0.19257598754629995,0.19257598754629995,36,0.19257598754629995
HIKARI2021,7,DVAE,CONST,0.2065294669989351,0.2065294669989351,9,0.2065294669989351
HIKARI2021,7,DVAE,COSINE,0.19691416085953573,0.19691416085953573,36,0.19691416085953573
HIKARI2021,7,DVAE,EXPONENTIAL,0.19075823088273375,0.19075823088273375,36,0.19075823088273375
HIKARI2021,7,DVAE,FIBONACCI,0.1909159835259456,0.1909159835259456,36,0.1909159835259456
HIKARI2021,7,DVAE,LAPLACE,0.19172365333978086,0.19172365333978086,36,0.19172365333978086
HIKARI2021,7,DVAE,LINEAR,0.20018149020300058,0.20018149020300058,36,0.20018149020300058
HIKARI2021,7,DVAE,LOGISTIC,0.19872145445332834,0.19872145445332834,36,0.19872145445332834
HIKARI2021,7,DVAE,SIGMOID,0.19715664380974005,0.19715664380974005,36,0.19715664380974005
HIKARI2021,7,FF_DAE,CAUCHY,0.1555084659529385,0.1555084659529385,36,0.1555084659529385
HIKARI2021,7,FF_DAE,CONST,0.1650009516688987,0.1650009516688987,9,0.1650009516688987
HIKARI2021,7,FF_DAE,COSINE,0.15653288684270605,0.15653288684270605,36,0.15653288684270605
HIKARI2021,7,FF_DAE,EXPONENTIAL,0.14710261407343414,0.14710261407343414,36,0.14710261407343414
HIKARI2021,7,FF_DAE,FIBONACCI,0.14305858958297074,0.14305858958297074,36,0.14305858958297074
HIKARI2021,7,FF_DAE,LAPLACE,0.1582179549132064,0.1582179549132064,36,0.1582179549132064
HIKARI2021,7,FF_DAE,LINEAR,0.15661800263923054,0.15661800263923054,36,0.15661800263923054
HIKARI2021,7,FF_DAE,LOGISTIC,0.1543280446766686,0.1543280446766686,36,0.1543280446766686
HIKARI2021,7,FF_DAE,SIGMOID,0.15818681934288614,0.15818681934288614,36,0.15818681934288614
HIKARI2021,7,RES_DAE,CAUCHY,0.1303349980332233,0.1303349980332233,36,0.1303349980332233
HIKARI2021,7,RES_DAE,CONST,0.1487535590166064,0.1487535590166064,9,0.1487535590166064
HIKARI2021,7,RES_DAE,COSINE,0.13432012496996448,0.13432012496996448,36,0.13432012496996448
HIKARI2021,7,RES_DAE,EXPONENTIAL,0.12484366312235315,0.12484366312235315,36,0.12484366312235315
HIKARI2021,7,RES_DAE,FIBONACCI,0.1198350371499868,0.1198350371499868,36,0.1198350371499868
HIKARI2021,7,RES_DAE,LAPLACE,0.12884085489792674,0.12884085489792674,36,0.12884085489792674
HIKARI2021,7,RES_DAE,LINEAR,0.1382712122826733,0.1382712122826733,36,0.1382712122826733
HIKARI2021,7,RES_DAE,LOGISTIC,0.13392031228245285,0.13392031228245285,36,0.13392031228245285
HIKARI2021,7,RES_DAE,SIGMOID,0.13520422872378468,0.13520422872378468,36,0.13520422872378468
HIKARI2021,7,SPARSE_DAE,CAUCHY,0.2597104184092227,0.2597104184092227,36,0.2597104184092227
