family_unit_used,AEVariant,group1,group2,meandiff,p_adj,lower,upper,reject
seed_median,DVAE,CAUCHY,CONST,0.0137,0.9813,-0.0344,0.0618,False
seed_median,DVAE,CAUCHY,COSINE,0.0081,0.9994,-0.04,0.0563,False
seed_median,DVAE,CAUCHY,EXPONENTIAL,-0.004,1.0,-0.0521,0.0441,False
seed_median,DVAE,CAUCHY,FIBONACCI,-0.0022,1.0,-0.0503,0.046,False
seed_median,DVAE,CAUCHY,LAPLACE,0.001,1.0,-0.0472,0.0491,False
seed_median,DVAE,CAUCHY,LINEAR,0.0112,0.9947,-0.0369,0.0594,False
seed_median,DVAE,CAUCHY,LOGISTIC,0.0101,0.9975,-0.0381,0.0582,False
seed_median,DVAE,CAUCHY,SIGMOID,0.0058,1.0,-0.0423,0.054,False
seed_median,DVAE,CONST,COSINE,-0.0056,1.0,-0.0537,0.0426,False
seed_median,DVAE,CONST,EXPONENTIAL,-0.0177,0.9222,-0.0659,0.0304,False
seed_median,DVAE,CONST,FIBONACCI,-0.0159,0.9565,-0.064,0.0323,False
seed_median,DVAE,CONST,LAPLACE,-0.0127,0.9882,-0.0609,0.0354,False
seed_median,DVAE,CONST,LINEAR,-0.0025,1.0,-0.0506,0.0457,False
seed_median,DVAE,CONST,LOGISTIC,-0.0036,1.0,-0.0518,0.0445,False
seed_median,DVAE,CONST,SIGMOID,-0.0079,0.9995,-0.056,0.0402,False
seed_median,DVAE,COSINE,EXPONENTIAL,-0.0121,0.9912,-0.0603,0.036,False
seed_median,DVAE,COSINE,FIBONACCI,-0.0103,0.997,-0.0584,0.0378,False
seed_median,DVAE,COSINE,LAPLACE,-0.0072,0.9998,-0.0553,0.041,False
seed_median,DVAE,COSINE,LINEAR,0.0031,1.0,-0.0451,0.0512,False
seed_median,DVAE,COSINE,LOGISTIC,0.0019,1.0,-0.0462,0.0501,False
seed_median,DVAE,COSINE,SIGMOID,-0.0023,1.0,-0.0505,0.0458,False
seed_median,DVAE,EXPONENTIAL,FIBONACCI,0.0018,1.0,-0.0463,0.05,False
seed_median,DVAE,EXPONENTIAL,LAPLACE,0.005,1.0,-0.0432,0.0531,False
seed_median,DVAE,EXPONENTIAL,LINEAR,0.0152,0.9654,-0.0329,0.0634,False
seed_median,DVAE,EXPONENTIAL,LOGISTIC,0.0141,0.9781,-0.0341,0.0622,False
seed_median,DVAE,EXPONENTIAL,SIGMOID,0.0098,0.9979,-0.0383,0.058,False
seed_median,DVAE,FIBONACCI,LAPLACE,0.0031,1.0,-0.045,0.0513,False
seed_median,DVAE,FIBONACCI,LINEAR,0.0134,0.9838,-0.0348,0.0615,False
seed_median,DVAE,FIBONACCI,LOGISTIC,0.0122,0.9908,-0.0359,0.0604,False
seed_median,DVAE,FIBONACCI,SIGMOID,0.008,0.9995,-0.0402,0.0561,False
seed_median,DVAE,LAPLACE,LINEAR,0.0102,0.9971,-0.0379,0.0584,False
seed_median,DVAE,LAPLACE,LOGISTIC,0.0091,0.9988,-0.0391,0.0572,False
seed_median,DVAE,LAPLACE,SIGMOID,0.0048,1.0,-0.0433,0.053,False
seed_median,DVAE,LINEAR,LOGISTIC,-0.0012,1.0,-0.0493,0.047,False
seed_median,DVAE,LINEAR,SIGMOID,-0.0054,1.0,-0.0536,0.0427,False
seed_median,DVAE,LOGISTIC,SIGMOID,-0.0043,1.0,-0.0524,0.0439,False
