family_unit_used,AEVariant,group1,group2,meandiff,p_adj,lower,upper,reject
seed_median,FF_DAE,CAUCHY,CONST,0.0174,0.9495,-0.0339,0.0686,False
seed_median,FF_DAE,CAUCHY,COSINE,-0.0023,1.0,-0.0536,0.0489,False
seed_median,FF_DAE,CAUCHY,EXPONENTIAL,-0.0047,1.0,-0.0559,0.0466,False
seed_median,FF_DAE,CAUCHY,FIBONACCI,-0.0064,0.9999,-0.0577,0.0448,False
seed_median,FF_DAE,CAUCHY,LAPLACE,0.0032,1.0,-0.048,0.0545,False
seed_median,FF_DAE,CAUCHY,LINEAR,-0.003,1.0,-0.0543,0.0482,False
seed_median,FF_DAE,CAUCHY,LOGISTIC,-0.0042,1.0,-0.0555,0.0471,False
seed_median,FF_DAE,CAUCHY,SIGMOID,0.0002,1.0,-0.051,0.0515,False
seed_median,FF_DAE,CONST,COSINE,-0.0197,0.9035,-0.071,0.0316,False
seed_median,FF_DAE,CONST,EXPONENTIAL,-0.022,0.8393,-0.0733,0.0292,False
seed_median,FF_DAE,CONST,FIBONACCI,-0.0238,0.7797,-0.0751,0.0275,False
seed_median,FF_DAE,CONST,LAPLACE,-0.0141,0.9847,-0.0654,0.0371,False
seed_median,FF_DAE,CONST,LINEAR,-0.0204,0.8863,-0.0717,0.0309,False
seed_median,FF_DAE,CONST,LOGISTIC,-0.0216,0.8536,-0.0728,0.0297,False
seed_median,FF_DAE,CONST,SIGMOID,-0.0171,0.9529,-0.0684,0.0341,False
seed_median,FF_DAE,COSINE,EXPONENTIAL,-0.0023,1.0,-0.0536,0.0489,False
seed_median,FF_DAE,COSINE,FIBONACCI,-0.0041,1.0,-0.0554,0.0472,False
seed_median,FF_DAE,COSINE,LAPLACE,0.0056,1.0,-0.0457,0.0568,False
seed_median,FF_DAE,COSINE,LINEAR,-0.0007,1.0,-0.052,0.0506,False
seed_median,FF_DAE,COSINE,LOGISTIC,-0.0019,1.0,-0.0531,0.0494,False
seed_median,FF_DAE,COSINE,SIGMOID,0.0026,1.0,-0.0487,0.0538,False
seed_median,FF_DAE,EXPONENTIAL,FIBONACCI,-0.0018,1.0,-0.053,0.0495,False
seed_median,FF_DAE,EXPONENTIAL,LAPLACE,0.0079,0.9997,-0.0434,0.0592,False
seed_median,FF_DAE,EXPONENTIAL,LINEAR,0.0016,1.0,-0.0496,0.0529,False
seed_median,FF_DAE,EXPONENTIAL,LOGISTIC,0.0005,1.0,-0.0508,0.0517,False
seed_median,FF_DAE,EXPONENTIAL,SIGMOID,0.0049,1.0,-0.0464,0.0562,False
seed_median,FF_DAE,FIBONACCI,LAPLACE,0.0097,0.9988,-0.0416,0.0609,False
seed_median,FF_DAE,FIBONACCI,LINEAR,0.0034,1.0,-0.0479,0.0547,False
seed_median,FF_DAE,FIBONACCI,LOGISTIC,0.0022,1.0,-0.049,0.0535,False
seed_median,FF_DAE,FIBONACCI,SIGMOID,0.0067,0.9999,-0.0446,0.0579,False
seed_median,FF_DAE,LAPLACE,LINEAR,-0.0063,0.9999,-0.0575,0.045,False
seed_median,FF_DAE,LAPLACE,LOGISTIC,-0.0074,0.9998,-0.0587,0.0438,False
seed_median,FF_DAE,LAPLACE,SIGMOID,-0.003,1.0,-0.0543,0.0483,False
seed_median,FF_DAE,LINEAR,LOGISTIC,-0.0012,1.0,-0.0524,0.0501,False
seed_median,FF_DAE,LINEAR,SIGMOID,0.0033,1.0,-0.048,0.0545,False
seed_median,FF_DAE,LOGISTIC,SIGMOID,0.0044,1.0,-0.0469,0.0557,False
