family_unit_used,AEVariant,group1,group2,meandiff,p_adj,lower,upper,reject
seed_median,RES_DAE,CAUCHY,CONST,0.0208,0.9426,-0.0393,0.0809,False
seed_median,RES_DAE,CAUCHY,COSINE,0.0024,1.0,-0.0577,0.0625,False
seed_median,RES_DAE,CAUCHY,EXPONENTIAL,-0.0021,1.0,-0.0622,0.058,False
seed_median,RES_DAE,CAUCHY,FIBONACCI,-0.0108,0.9991,-0.0709,0.0493,False
seed_median,RES_DAE,CAUCHY,LAPLACE,-0.0041,1.0,-0.0642,0.056,False
seed_median,RES_DAE,CAUCHY,LINEAR,0.0041,1.0,-0.0559,0.0642,False
seed_median,RES_DAE,CAUCHY,LOGISTIC,0.0013,1.0,-0.0588,0.0614,False
seed_median,RES_DAE,CAUCHY,SIGMOID,0.0038,1.0,-0.0563,0.0639,False
seed_median,RES_DAE,CONST,COSINE,-0.0184,0.9711,-0.0785,0.0417,False
seed_median,RES_DAE,CONST,EXPONENTIAL,-0.0229,0.9071,-0.083,0.0372,False
seed_median,RES_DAE,CONST,FIBONACCI,-0.0316,0.6562,-0.0917,0.0285,False
seed_median,RES_DAE,CONST,LAPLACE,-0.0249,0.8626,-0.085,0.0352,False
seed_median,RES_DAE,CONST,LINEAR,-0.0167,0.9839,-0.0768,0.0434,False
seed_median,RES_DAE,CONST,LOGISTIC,-0.0195,0.9595,-0.0796,0.0406,False
seed_median,RES_DAE,CONST,SIGMOID,-0.0171,0.9814,-0.0772,0.043,False
seed_median,RES_DAE,COSINE,EXPONENTIAL,-0.0045,1.0,-0.0646,0.0556,False
seed_median,RES_DAE,COSINE,FIBONACCI,-0.0132,0.9965,-0.0733,0.0469,False
seed_median,RES_DAE,COSINE,LAPLACE,-0.0065,1.0,-0.0666,0.0536,False
seed_median,RES_DAE,COSINE,LINEAR,0.0017,1.0,-0.0584,0.0618,False
seed_median,RES_DAE,COSINE,LOGISTIC,-0.0011,1.0,-0.0612,0.059,False
seed_median,RES_DAE,COSINE,SIGMOID,0.0013,1.0,-0.0588,0.0614,False
seed_median,RES_DAE,EXPONENTIAL,FIBONACCI,-0.0087,0.9998,-0.0688,0.0514,False
seed_median,RES_DAE,EXPONENTIAL,LAPLACE,-0.002,1.0,-0.0621,0.0581,False
seed_median,RES_DAE,EXPONENTIAL,LINEAR,0.0062,1.0,-0.0539,0.0663,False
seed_median,RES_DAE,EXPONENTIAL,LOGISTIC,0.0034,1.0,-0.0567,0.0635,False
seed_median,RES_DAE,EXPONENTIAL,SIGMOID,0.0058,1.0,-0.0543,0.0659,False
seed_median,RES_DAE,FIBONACCI,LAPLACE,0.0067,1.0,-0.0534,0.0668,False
seed_median,RES_DAE,FIBONACCI,LINEAR,0.0149,0.992,-0.0452,0.075,False
seed_median,RES_DAE,FIBONACCI,LOGISTIC,0.0121,0.9981,-0.048,0.0722,False
seed_median,RES_DAE,FIBONACCI,SIGMOID,0.0145,0.9933,-0.0456,0.0746,False
seed_median,RES_DAE,LAPLACE,LINEAR,0.0082,0.9999,-0.0519,0.0683,False
seed_median,RES_DAE,LAPLACE,LOGISTIC,0.0054,1.0,-0.0547,0.0655,False
seed_median,RES_DAE,LAPLACE,SIGMOID,0.0078,0.9999,-0.0523,0.0679,False
seed_median,RES_DAE,LINEAR,LOGISTIC,-0.0028,1.0,-0.0629,0.0572,False
seed_median,RES_DAE,LINEAR,SIGMOID,-0.0004,1.0,-0.0605,0.0597,False
seed_median,RES_DAE,LOGISTIC,SIGMOID,0.0025,1.0,-0.0576,0.0626,False
