family_unit_used,AEVariant,group1,group2,meandiff,p_adj,lower,upper,reject
seed_median,SPARSE_DAE,CAUCHY,CONST,0.0,1.0,-0.024,0.0241,False
seed_median,SPARSE_DAE,CAUCHY,COSINE,0.0,1.0,-0.024,0.0241,False
seed_median,SPARSE_DAE,CAUCHY,EXPONENTIAL,0.0,1.0,-0.024,0.0241,False
seed_median,SPARSE_DAE,CAUCHY,FIBONACCI,0.0,1.0,-0.024,0.0241,False
seed_median,SPARSE_DAE,CAUCHY,LAPLACE,0.0,1.0,-0.024,0.0241,False
seed_median,SPARSE_DAE,CAUCHY,LINEAR,0.0,1.0,-0.024,0.0241,False
seed_median,SPARSE_DAE,CAUCHY,LOGISTIC,0.0,1.0,-0.024,0.0241,False
seed_median,SPARSE_DAE,CAUCHY,SIGMOID,0.0,1.0,-0.024,0.0241,False
seed_median,SPARSE_DAE,CONST,COSINE,-0.0,1.0,-0.0241,0.024,False
seed_median,SPARSE_DAE,CONST,EXPONENTIAL,-0.0,1.0,-0.0241,0.024,False
seed_median,SPARSE_DAE,CONST,FIBONACCI,-0.0,1.0,-0.0241,0.024,False
seed_median,SPARSE_DAE,CONST,LAPLACE,-0.0,1.0,-0.0241,0.024,False
seed_median,SPARSE_DAE,CONST,LINEAR,-0.0,1.0,-0.0241,0.024,False
seed_median,SPARSE_DAE,CONST,LOGISTIC,-0.0,1.0,-0.0241,0.024,False
seed_median,SPARSE_DAE,CONST,SIGMOID,-0.0,1.0,-0.0241,0.024,False
seed_median,SPARSE_DAE,COSINE,EXPONENTIAL,0.0,1.0,-0.024,0.0241,False
seed_median,SPARSE_DAE,COSINE,FIBONACCI,0.0,1.0,-0.024,0.0241,False
seed_median,SPARSE_DAE,COSINE,LAPLACE,0.0,1.0,-0.024,0.024,False
seed_median,SPARSE_DAE,COSINE,LINEAR,0.0,1.0,-0.024,0.024,False
seed_median,SPARSE_DAE,COSINE,LOGISTIC,0.0,1.0,-0.024,0.024,False
seed_median,SPARSE_DAE,COSINE,SIGMOID,0.0,1.0,-0.024,0.024,False
seed_median,SPARSE_DAE,EXPONENTIAL,FIBONACCI,-0.0,1.0,-0.0241,0.024,False
seed_median,SPARSE_DAE,EXPONENTIAL,LAPLACE,-0.0,1.0,-0.0241,0.024,False
seed_median,SPARSE_DAE,EXPONENTIAL,LINEAR,-0.0,1.0,-0.0241,0.024,False
seed_median,SPARSE_DAE,EXPONENTIAL,LOGISTIC,-0.0,1.0,-0.0241,0.024,False
seed_median,SPARSE_DAE,EXPONENTIAL,SIGMOID,-0.0,1.0,-0.0241,0.024,False
seed_median,SPARSE_DAE,FIBONACCI,LAPLACE,-0.0,1.0,-0.0241,0.024,False
seed_median,SPARSE_DAE,FIBONACCI,LINEAR,-0.0,1.0,-0.0241,0.024,False
seed_median,SPARSE_DAE,FIBONACCI,LOGISTIC,-0.0,1.0,-0.0241,0.024,False
seed_median,SPARSE_DAE,FIBONACCI,SIGMOID,-0.0,1.0,-0.0241,0.024,False
seed_median,SPARSE_DAE,LAPLACE,LINEAR,0.0,1.0,-0.024,0.024,False
seed_median,SPARSE_DAE,LAPLACE,LOGISTIC,0.0,1.0,-0.024,0.024,False
seed_median,SPARSE_DAE,LAPLACE,SIGMOID,0.0,1.0,-0.024,0.024,False
seed_median,SPARSE_DAE,LINEAR,LOGISTIC,0.0,1.0,-0.024,0.024,False
seed_median,SPARSE_DAE,LINEAR,SIGMOID,0.0,1.0,-0.024,0.024,False
seed_median,SPARSE_DAE,LOGISTIC,SIGMOID,0.0,1.0,-0.024,0.024,False
