Family,AEVariant,metric,delta_column,paired_delta_basis_used,n_pairs,mean_delta_MCC,median_delta_MCC,std_delta_MCC,min_delta_MCC,max_delta_MCC,positive_delta_count,negative_delta_count,zero_delta_count,win_rate_vs_const,test_name,p_value,effect_size,improves_vs_const,inferential_note,mean_delta_MCC_ci_low,mean_delta_MCC_ci_high,median_delta_MCC_ci_low,median_delta_MCC_ci_high,mean_delta_Accuracy,mean_delta_F1_Score,mean_delta_ROC_AUC,mean_delta_PR_AUC,holm_p_value,bh_p_value,significant_holm,significant_bh
EXPONENTIAL,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,-6.398243445527523e-05,-1.2168081499175365e-05,0.0004587853504712739,-0.0014728052485376009,0.0011936078187624877,39,57,12,0.3611111111111111,wilcoxon_signed_rank_greater,0.7819090464694796,-0.14801548784272386,False,,-0.00014517725074372236,1.9620391135650915e-05,-4.134725058030364e-05,0.0,3.435068042698828e-05,-3.3315743522273395e-05,-8.275102918269253e-05,-1.386779541277034e-05,1.0,0.9999999999448534,False,False
LOGISTIC,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,-6.820640311470487e-05,-1.2168081499175365e-05,0.00044965828227176534,-0.0014728052485376009,0.0011936078187624877,36,57,15,0.3333333333333333,wilcoxon_signed_rank_greater,0.8295824140090784,-0.16364407196736114,False,,-0.00015068834789463777,1.47846203391089e-05,-4.134725058030364e-05,0.0,2.7513894516764773e-05,-3.7321605792472396e-05,-8.482694539223135e-05,-1.2161374541279922e-05,1.0,0.9999999999448534,False,False
FIBONACCI,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,-6.91024665479257e-05,-1.2168081499175365e-05,0.00045701522700796474,-0.0014728052485376009,0.0011936078187624877,38,58,12,0.35185185185185186,wilcoxon_signed_rank_greater,0.846988100717657,-0.16051387833659875,False,,-0.00015803522960711338,1.29058513651974e-05,-4.134725058030364e-05,0.0,3.1515915537384036e-05,-3.680782144673863e-05,-8.489198313188815e-05,-2.2810204415012603e-05,1.0,0.9999999999448534,False,False
COSINE,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,-7.518317278528275e-05,-1.2168081499175365e-05,0.0004541471926107765,-0.0014728052485376009,0.0011936078187624877,35,58,15,0.32407407407407407,wilcoxon_signed_rank_greater,0.9047333866644387,-0.17866432828068501,False,,-0.0001584760115519245,6.381082395802585e-06,-4.134725058030364e-05,0.0,3.1849417289100856e-05,-3.999276455637398e-05,-8.515733805894226e-05,-8.763959745201117e-06,1.0,0.9999999999448534,False,False
LAPLACE,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,-7.748801802696627e-05,-1.2168081499175365e-05,0.0004530534549977524,-0.0014728052485376009,0.0011936078187624877,33,58,17,0.3055555555555556,wilcoxon_signed_rank_greater,0.9252504524751992,-0.18668005318326394,False,,-0.0001631089194378717,4.721272531529314e-06,-4.134725058030364e-05,0.0,3.184941728910291e-05,-4.121743474345757e-05,-8.566250313835786e-05,-1.9041013844545613e-05,1.0,0.9999999999448534,False,False
LINEAR,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,-8.156297642537013e-05,-1.2168081499175365e-05,0.0004577724764238497,-0.0014728052485376009,0.0011936078187624877,36,59,13,0.3333333333333333,wilcoxon_signed_rank_greater,0.9219719978051041,-0.19026977715060955,False,,-0.00016472139447385893,7.139376580634565e-07,-4.134725058030364e-05,0.0,3.693531900279977e-05,-4.2142543079063874e-05,-8.455984269553835e-05,-1.1318460697870158e-05,1.0,0.9999999999448534,False,False
SIGMOID,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,-8.868954017301879e-05,-1.2168081499175365e-05,0.00045351315834008796,-0.0014728052485376009,0.0011936078187624877,31,59,18,0.28703703703703703,wilcoxon_signed_rank_greater,0.9675323875074462,-0.2148571548184355,False,,-0.00017345494416909574,-5.487793159484724e-06,-4.134725058030364e-05,0.0,3.593481374764624e-05,-4.621415518403453e-05,-8.745248960844145e-05,-1.2432490651576958e-05,1.0,0.9999999999448534,False,False
CAUCHY,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,-9.528827478542893e-05,-1.2168081499175365e-05,0.000458121793593447,-0.0014728052485376009,0.0011936078187624877,30,62,16,0.2777777777777778,wilcoxon_signed_rank_greater,0.9829653175328579,-0.22603652740499985,False,,-0.00018124254906647333,-1.1488216539436832e-05,-5.201784187186531e-05,0.0,4.0020210206192655e-05,-4.8750993388569116e-05,-8.579792735847356e-05,-1.2754865621056168e-05,1.0,0.9999999999448534,False,False
LOGISTIC,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.007111747388472809,-0.00425112194605895,0.02882042632124659,-0.056957201560172005,0.07221525786464653,45,63,0,0.4166666666666667,wilcoxon_signed_rank_greater,0.9973836197571492,-0.2467606588797483,False,,-0.012862464430118473,-0.001978093289003002,-0.017428096176120636,0.0008738001406620594,-0.015201093218742112,-0.0034765411410211766,0.005541538150249089,0.0037875795521923666,1.0,0.9999999999448534,False,False
LINEAR,DVAE,MCC,delta_MCC_vs_const_median,median,108,-0.00711562058784557,-0.000830414943939109,0.03568530937246031,-0.2139363920761394,0.0743888924131135,50,58,0,0.46296296296296297,wilcoxon_signed_rank_greater,0.9784631092697534,-0.19939915648139406,False,,-0.013816557769481288,-0.0011055640333593264,-0.011559200844325893,0.003767899968656173,-0.009956694797539392,-0.003381179927352746,0.005046799578785979,0.0037781724243873436,1.0,0.9999999999448534,False,False
