family_unit_used,AEVariant,group1,group2,meandiff,p_adj,lower,upper,reject
seed_median,DVAE,CAUCHY,CONST,0.0162,0.9615,-0.034,0.0663,False
seed_median,DVAE,CAUCHY,COSINE,-0.0028,1.0,-0.053,0.0473,False
seed_median,DVAE,CAUCHY,EXPONENTIAL,0.0004,1.0,-0.0497,0.0506,False
seed_median,DVAE,CAUCHY,FIBONACCI,0.0045,1.0,-0.0456,0.0547,False
seed_median,DVAE,CAUCHY,LAPLACE,0.0031,1.0,-0.047,0.0533,False
seed_median,DVAE,CAUCHY,LINEAR,-0.0025,1.0,-0.0526,0.0477,False
seed_median,DVAE,CAUCHY,LOGISTIC,-0.0024,1.0,-0.0526,0.0477,False
seed_median,DVAE,CAUCHY,SIGMOID,-0.0045,1.0,-0.0547,0.0456,False
seed_median,DVAE,CONST,COSINE,-0.019,0.9098,-0.0691,0.0311,False
seed_median,DVAE,CONST,EXPONENTIAL,-0.0157,0.967,-0.0659,0.0344,False
seed_median,DVAE,CONST,FIBONACCI,-0.0116,0.9949,-0.0618,0.0385,False
seed_median,DVAE,CONST,LAPLACE,-0.013,0.9893,-0.0632,0.0371,False
seed_median,DVAE,CONST,LINEAR,-0.0186,0.9183,-0.0688,0.0315,False
seed_median,DVAE,CONST,LOGISTIC,-0.0186,0.9192,-0.0687,0.0316,False
seed_median,DVAE,CONST,SIGMOID,-0.0207,0.8659,-0.0708,0.0295,False
seed_median,DVAE,COSINE,EXPONENTIAL,0.0033,1.0,-0.0469,0.0534,False
seed_median,DVAE,COSINE,FIBONACCI,0.0074,0.9998,-0.0428,0.0575,False
seed_median,DVAE,COSINE,LAPLACE,0.006,1.0,-0.0442,0.0561,False
seed_median,DVAE,COSINE,LINEAR,0.0004,1.0,-0.0498,0.0505,False
seed_median,DVAE,COSINE,LOGISTIC,0.0004,1.0,-0.0497,0.0506,False
seed_median,DVAE,COSINE,SIGMOID,-0.0017,1.0,-0.0518,0.0485,False
seed_median,DVAE,EXPONENTIAL,FIBONACCI,0.0041,1.0,-0.046,0.0542,False
seed_median,DVAE,EXPONENTIAL,LAPLACE,0.0027,1.0,-0.0475,0.0528,False
seed_median,DVAE,EXPONENTIAL,LINEAR,-0.0029,1.0,-0.053,0.0472,False
seed_median,DVAE,EXPONENTIAL,LOGISTIC,-0.0029,1.0,-0.053,0.0473,False
seed_median,DVAE,EXPONENTIAL,SIGMOID,-0.005,1.0,-0.0551,0.0452,False
seed_median,DVAE,FIBONACCI,LAPLACE,-0.0014,1.0,-0.0516,0.0487,False
seed_median,DVAE,FIBONACCI,LINEAR,-0.007,0.9999,-0.0572,0.0431,False
seed_median,DVAE,FIBONACCI,LOGISTIC,-0.007,0.9999,-0.0571,0.0432,False
seed_median,DVAE,FIBONACCI,SIGMOID,-0.0091,0.9991,-0.0592,0.0411,False
seed_median,DVAE,LAPLACE,LINEAR,-0.0056,1.0,-0.0557,0.0446,False
seed_median,DVAE,LAPLACE,LOGISTIC,-0.0055,1.0,-0.0557,0.0446,False
seed_median,DVAE,LAPLACE,SIGMOID,-0.0076,0.9997,-0.0578,0.0425,False
seed_median,DVAE,LINEAR,LOGISTIC,0.0,1.0,-0.0501,0.0502,False
seed_median,DVAE,LINEAR,SIGMOID,-0.002,1.0,-0.0522,0.0481,False
seed_median,DVAE,LOGISTIC,SIGMOID,-0.0021,1.0,-0.0522,0.0481,False
