family_unit_used,AEVariant,group1,group2,meandiff,p_adj,lower,upper,reject
seed_median,FF_DAE,CAUCHY,CONST,-0.0293,0.0,-0.0423,-0.0164,True
seed_median,FF_DAE,CAUCHY,COSINE,-0.0052,0.8855,-0.0181,0.0078,False
seed_median,FF_DAE,CAUCHY,EXPONENTIAL,-0.0026,0.998,-0.0156,0.0103,False
seed_median,FF_DAE,CAUCHY,FIBONACCI,-0.0071,0.6037,-0.0201,0.0058,False
seed_median,FF_DAE,CAUCHY,LAPLACE,-0.0028,0.9969,-0.0157,0.0102,False
seed_median,FF_DAE,CAUCHY,LINEAR,-0.0064,0.7252,-0.0193,0.0066,False
seed_median,FF_DAE,CAUCHY,LOGISTIC,-0.0059,0.7978,-0.0188,0.0071,False
seed_median,FF_DAE,CAUCHY,SIGMOID,-0.0058,0.8089,-0.0188,0.0072,False
seed_median,FF_DAE,CONST,COSINE,0.0242,0.0001,0.0112,0.0371,True
seed_median,FF_DAE,CONST,EXPONENTIAL,0.0267,0.0,0.0137,0.0397,True
seed_median,FF_DAE,CONST,FIBONACCI,0.0222,0.0003,0.0092,0.0351,True
seed_median,FF_DAE,CONST,LAPLACE,0.0265,0.0,0.0136,0.0395,True
seed_median,FF_DAE,CONST,LINEAR,0.0229,0.0002,0.01,0.0359,True
seed_median,FF_DAE,CONST,LOGISTIC,0.0234,0.0002,0.0105,0.0364,True
seed_median,FF_DAE,CONST,SIGMOID,0.0235,0.0002,0.0106,0.0365,True
seed_median,FF_DAE,COSINE,EXPONENTIAL,0.0025,0.9984,-0.0104,0.0155,False
seed_median,FF_DAE,COSINE,FIBONACCI,-0.002,0.9997,-0.0149,0.011,False
seed_median,FF_DAE,COSINE,LAPLACE,0.0024,0.999,-0.0106,0.0153,False
seed_median,FF_DAE,COSINE,LINEAR,-0.0012,1.0,-0.0142,0.0117,False
seed_median,FF_DAE,COSINE,LOGISTIC,-0.0007,1.0,-0.0137,0.0122,False
seed_median,FF_DAE,COSINE,SIGMOID,-0.0006,1.0,-0.0136,0.0123,False
seed_median,FF_DAE,EXPONENTIAL,FIBONACCI,-0.0045,0.9408,-0.0175,0.0084,False
seed_median,FF_DAE,EXPONENTIAL,LAPLACE,-0.0002,1.0,-0.0131,0.0128,False
seed_median,FF_DAE,EXPONENTIAL,LINEAR,-0.0038,0.979,-0.0167,0.0092,False
seed_median,FF_DAE,EXPONENTIAL,LOGISTIC,-0.0033,0.9912,-0.0162,0.0097,False
seed_median,FF_DAE,EXPONENTIAL,SIGMOID,-0.0032,0.9926,-0.0161,0.0098,False
seed_median,FF_DAE,FIBONACCI,LAPLACE,0.0043,0.9519,-0.0086,0.0173,False
seed_median,FF_DAE,FIBONACCI,LINEAR,0.0008,1.0,-0.0122,0.0137,False
seed_median,FF_DAE,FIBONACCI,LOGISTIC,0.0013,1.0,-0.0117,0.0142,False
seed_median,FF_DAE,FIBONACCI,SIGMOID,0.0013,1.0,-0.0116,0.0143,False
seed_median,FF_DAE,LAPLACE,LINEAR,-0.0036,0.9842,-0.0165,0.0094,False
seed_median,FF_DAE,LAPLACE,LOGISTIC,-0.0031,0.9938,-0.016,0.0099,False
seed_median,FF_DAE,LAPLACE,SIGMOID,-0.003,0.9948,-0.016,0.0099,False
seed_median,FF_DAE,LINEAR,LOGISTIC,0.0005,1.0,-0.0125,0.0135,False
seed_median,FF_DAE,LINEAR,SIGMOID,0.0006,1.0,-0.0124,0.0135,False
seed_median,FF_DAE,LOGISTIC,SIGMOID,0.0001,1.0,-0.0129,0.013,False
