family_unit_used,AEVariant,group1,group2,meandiff,p_adj,lower,upper,reject
seed_median,RES_DAE,CAUCHY,CONST,-0.0037,1.0,-0.047,0.0395,False
seed_median,RES_DAE,CAUCHY,COSINE,-0.0004,1.0,-0.0437,0.0428,False
seed_median,RES_DAE,CAUCHY,EXPONENTIAL,0.0032,1.0,-0.0401,0.0464,False
seed_median,RES_DAE,CAUCHY,FIBONACCI,0.0014,1.0,-0.0418,0.0447,False
seed_median,RES_DAE,CAUCHY,LAPLACE,0.0008,1.0,-0.0425,0.044,False
seed_median,RES_DAE,CAUCHY,LINEAR,-0.0009,1.0,-0.0442,0.0424,False
seed_median,RES_DAE,CAUCHY,LOGISTIC,-0.0011,1.0,-0.0443,0.0422,False
seed_median,RES_DAE,CAUCHY,SIGMOID,-0.0006,1.0,-0.0439,0.0426,False
seed_median,RES_DAE,CONST,COSINE,0.0033,1.0,-0.04,0.0465,False
seed_median,RES_DAE,CONST,EXPONENTIAL,0.0069,0.9996,-0.0364,0.0502,False
seed_median,RES_DAE,CONST,FIBONACCI,0.0051,1.0,-0.0381,0.0484,False
seed_median,RES_DAE,CONST,LAPLACE,0.0045,1.0,-0.0388,0.0478,False
seed_median,RES_DAE,CONST,LINEAR,0.0028,1.0,-0.0404,0.0461,False
seed_median,RES_DAE,CONST,LOGISTIC,0.0027,1.0,-0.0406,0.0459,False
seed_median,RES_DAE,CONST,SIGMOID,0.0031,1.0,-0.0402,0.0463,False
seed_median,RES_DAE,COSINE,EXPONENTIAL,0.0036,1.0,-0.0396,0.0469,False
seed_median,RES_DAE,COSINE,FIBONACCI,0.0019,1.0,-0.0414,0.0451,False
seed_median,RES_DAE,COSINE,LAPLACE,0.0012,1.0,-0.042,0.0445,False
seed_median,RES_DAE,COSINE,LINEAR,-0.0005,1.0,-0.0437,0.0428,False
seed_median,RES_DAE,COSINE,LOGISTIC,-0.0006,1.0,-0.0439,0.0426,False
seed_median,RES_DAE,COSINE,SIGMOID,-0.0002,1.0,-0.0435,0.0431,False
seed_median,RES_DAE,EXPONENTIAL,FIBONACCI,-0.0018,1.0,-0.045,0.0415,False
seed_median,RES_DAE,EXPONENTIAL,LAPLACE,-0.0024,1.0,-0.0457,0.0408,False
seed_median,RES_DAE,EXPONENTIAL,LINEAR,-0.0041,1.0,-0.0474,0.0392,False
seed_median,RES_DAE,EXPONENTIAL,LOGISTIC,-0.0043,1.0,-0.0475,0.039,False
seed_median,RES_DAE,EXPONENTIAL,SIGMOID,-0.0038,1.0,-0.0471,0.0394,False
seed_median,RES_DAE,FIBONACCI,LAPLACE,-0.0006,1.0,-0.0439,0.0426,False
seed_median,RES_DAE,FIBONACCI,LINEAR,-0.0023,1.0,-0.0456,0.0409,False
seed_median,RES_DAE,FIBONACCI,LOGISTIC,-0.0025,1.0,-0.0457,0.0408,False
seed_median,RES_DAE,FIBONACCI,SIGMOID,-0.0021,1.0,-0.0453,0.0412,False
seed_median,RES_DAE,LAPLACE,LINEAR,-0.0017,1.0,-0.0449,0.0416,False
seed_median,RES_DAE,LAPLACE,LOGISTIC,-0.0018,1.0,-0.0451,0.0414,False
seed_median,RES_DAE,LAPLACE,SIGMOID,-0.0014,1.0,-0.0447,0.0418,False
seed_median,RES_DAE,LINEAR,LOGISTIC,-0.0002,1.0,-0.0434,0.0431,False
seed_median,RES_DAE,LINEAR,SIGMOID,0.0003,1.0,-0.043,0.0435,False
seed_median,RES_DAE,LOGISTIC,SIGMOID,0.0004,1.0,-0.0428,0.0437,False
