Family,AEVariant,metric,delta_column,paired_delta_basis_used,n_pairs,mean_delta_MCC,median_delta_MCC,std_delta_MCC,min_delta_MCC,max_delta_MCC,positive_delta_count,negative_delta_count,zero_delta_count,win_rate_vs_const,test_name,p_value,effect_size,improves_vs_const,inferential_note,mean_delta_MCC_ci_low,mean_delta_MCC_ci_high,median_delta_MCC_ci_low,median_delta_MCC_ci_high,mean_delta_Accuracy,mean_delta_F1_Score,mean_delta_ROC_AUC,mean_delta_PR_AUC,holm_p_value,bh_p_value,significant_holm,significant_bh
CAUCHY,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.02302093995086298,0.022530212194652566,0.017136578988256726,-0.022550940594642577,0.050800580453611355,95,13,0,0.8796296296296297,wilcoxon_signed_rank_greater,3.519288670170454e-17,1.3433801440354742,True,,0.01975014635440401,0.02616307523672925,0.020251527973388306,0.03014783660620689,0.011246458888190612,0.011023448780820125,0.004028665171903243,0.003458689023434149,1.1261723744545454e-15,9.739998739420713e-16,True,True
EXPONENTIAL,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.022283145025200457,0.02132384583027086,0.018035578937356966,-0.0206329160090446,0.055190513789966866,91,17,0,0.8425925925925926,wilcoxon_signed_rank_greater,2.460499044735249e-16,1.2355103820820539,True,,0.018955423112487955,0.02558610794214944,0.018225286033632986,0.0281899629428512,0.011040101844370601,0.011189061688037618,0.003870654599113736,0.003259792286543683,6.8893973252586974e-15,1.5747193886305595e-15,True,True
LAPLACE,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.021906337089966827,0.022093243167655763,0.01750583188299627,-0.02413606572210847,0.05197914299019901,96,12,0,0.8888888888888888,wilcoxon_signed_rank_greater,9.131248818206919e-17,1.2513736699364442,True,,0.01862782596795307,0.024981861435668662,0.018028960106493158,0.028709051622385018,0.010681003182013128,0.010553724700172832,0.003805255343279184,0.003234961766509384,2.7393746454620758e-15,9.739998739420713e-16,True,True
FIBONACCI,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.021104808296837734,0.020577521439721524,0.01686306831387404,-0.021849758641870776,0.0494060953251676,96,12,0,0.8888888888888888,wilcoxon_signed_rank_greater,8.241968535029426e-17,1.2515402240422804,True,,0.01804501966424138,0.024263252796490463,0.017581237779807354,0.02725767232123096,0.010235558747543623,0.009948169265863045,0.0037843497385949515,0.0031799286649103723,2.555010245859122e-15,9.739998739420713e-16,True,True
COSINE,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.019101357119473413,0.01836902370053206,0.01650025483100843,-0.020788438000168163,0.044060506009786615,92,16,0,0.8518518518518519,wilcoxon_signed_rank_greater,5.356049587708717e-16,1.1576401282251212,True,,0.01594596149587043,0.02220200306844782,0.01546453003111431,0.023523652746600062,0.008968426748860338,0.008133733842188455,0.0034865558526600733,0.0030795930478637397,1.4461333886813536e-14,2.856559780111316e-15,True,True
LINEAR,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.018861018959183698,0.017558870445906094,0.01608532507063841,-0.020374273591650116,0.04849279776824578,94,14,0,0.8703703703703703,wilcoxon_signed_rank_greater,1.3391485525425143e-16,1.172560633694583,True,,0.015860327366844743,0.021904410844999972,0.01409223115961633,0.022687616262520915,0.008847168606796905,0.007886590102555388,0.0035783947064315655,0.0031749285694479485,3.883530802373291e-15,1.0713188420340114e-15,True,True
LOGISTIC,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.018826563066062504,0.018544629557317727,0.01696236268323967,-0.020386731963227045,0.04591469974431761,89,19,0,0.8240740740740741,wilcoxon_signed_rank_greater,2.353495567450617e-15,1.109902164959303,True,,0.015590252394366887,0.021929349722847213,0.01461111724163272,0.02302900351214221,0.008861819333472949,0.008092586417031623,0.0034655155305219672,0.0030575326500337117,5.883738918626542e-14,9.413982269802468e-15,True,True
SIGMOID,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.018532034765729424,0.017095246340413206,0.01663792434292427,-0.020591493192350763,0.0469002956038147,90,18,0,0.8333333333333334,wilcoxon_signed_rank_greater,1.4422217615091322e-15,1.1138429519603408,True,,0.0152794618265238,0.02156985333446256,0.013209185418467021,0.02210893687359644,0.00870097305762533,0.007844703944895613,0.003432968302531057,0.0030670719859708095,3.749776579923744e-14,6.5930137668988895e-15,True,True
EXPONENTIAL,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.008433073467180231,0.005212030433603909,0.011566161861762014,-0.020775456892225597,0.03447613670791694,84,24,0,0.7777777777777778,wilcoxon_signed_rank_greater,1.790406829479371e-10,0.7291159822283866,True,,0.006377890492175377,0.010718358250625308,0.003893634734333351,0.010181707847673818,0.003928576772301507,0.004639778747702197,0.001325716353569928,0.001144990240151775,4.296976390750491e-09,6.365890949259985e-10,True,True
FIBONACCI,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.0070022735037804556,0.0052301871375019515,0.01174475570189785,-0.02647894697659403,0.03648759485021502,77,31,0,0.7129629629629629,wilcoxon_signed_rank_greater,3.802459944021408e-08,0.5962042703070226,True,,0.004966716874090734,0.009273658597497325,0.002689952563480405,0.008553640525446271,0.00342733488942752,0.004588154942218146,0.001059947363139309,0.0008948777077062801,8.745657871249239e-07,1.2167871820868507e-07,True,True
LAPLACE,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.005667031476291603,0.0045402436823318015,0.009680733820760777,-0.01237765651489775,0.03128107394362489,76,32,0,0.7037037037037037,wilcoxon_signed_rank_greater,1.0908152463397666e-07,0.5853927585069018,True,,0.003920783679268428,0.00744895202891584,0.002562129263526447,0.005816480461970903,0.002649599505241832,0.0035361832732810432,0.0008913394649236729,0.0007467315966566772,2.3997935419474865e-06,3.173280716624776e-07,True,True
CAUCHY,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.005382833273621668,0.004133262121057135,0.010373987023112829,-0.02086866705823187,0.033117511661466814,77,31,0,0.7129629629629629,wilcoxon_signed_rank_greater,7.576469285891525e-07,0.5188779647699628,True,,0.0035331451795175394,0.007164968227636391,0.002239081894837791,0.00553768960201706,0.002513690636502378,0.003381300543512783,0.00044610958534166927,0.00042649301392872857,1.5910585500372203e-05,2.0203918095710734e-06,True,True
SIGMOID,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.00443971062334375,0.0024015040967523826,0.01049311420210559,-0.016506413603415093,0.035378183571859845,67,41,0,0.6203703703703703,wilcoxon_signed_rank_greater,0.00017997802892900976,0.4231070526259738,True,,0.002486664038808223,0.006499163729527079,0.00033295126551513565,0.004631953270762268,0.0020261643275378766,0.0028379933653227725,0.00042040693027986314,0.00043750540286121615,0.003599560578580195,0.00044302284044063945,True,True
COSINE,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.004275913525157133,0.0023252644508468534,0.010488600490053354,-0.021600772983980887,0.0327212150483257,65,43,0,0.6018518518518519,wilcoxon_signed_rank_greater,0.00023497067468924773,0.407672456282841,True,,0.0023231407427945524,0.0062296102715680415,0.00024305815931807695,0.004407836300112822,0.001950105235857998,0.0028237619927048863,0.0004018171903946052,0.00039303590743653994,0.004464442819095707,0.0005370758278611376,True,True
LOGISTIC,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.003965876367598437,0.0022485448578426492,0.010204624473702665,-0.020836014617835574,0.0325832017997264,65,43,0,0.6018518518518519,wilcoxon_signed_rank_greater,0.0004314163786375409,0.38863520920636246,True,,0.0020773839567150556,0.005857062810779693,0.0001314842022119289,0.003935001923356518,0.0018004807932090337,0.0027132489503816793,0.00038171389617921785,0.0003631357241298158,0.007765494815475737,0.0009203549410934206,True,True
LINEAR,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.0034560543999963968,0.002027318016746049,0.009933339970721402,-0.024278301118881185,0.03373707530302772,65,43,0,0.6018518518518519,wilcoxon_signed_rank_greater,0.0008663997856211158,0.3479247070809234,True,,0.0015570817249804549,0.005317475098776827,0.00042056982724070213,0.003916120717593913,0.0015573410739044917,0.0024921515251016793,0.0003494725302187515,0.0003117601669179511,0.014728796355558968,0.0017327995712422316,True,True
LINEAR,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,1.2230278480205878e-05,0.0,7.340395651536033e-05,-0.00013398928838481705,0.00020427691328717135,30,31,47,0.2777777777777778,wilcoxon_signed_rank_greater,0.027194451819000532,0.22332326439016306,True,,-1.0245552383010503e-06,2.662262531460325e-05,0.0,0.0,5.9226341881760225e-06,8.778602221269175e-06,6.002366145604384e-06,3.949311929088531e-06,0.4351112291040085,0.05118955636517747,False,False
CAUCHY,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,1.1019018297494151e-05,0.0,7.300594577827428e-05,-0.00013398928838481705,0.00020427691328717135,29,31,48,0.26851851851851855,wilcoxon_signed_rank_greater,0.04569367686740279,0.20362115888503932,True,,-2.0427594703603565e-06,2.4787559598925695e-05,0.0,0.0,5.299199010472472e-06,8.270416760050888e-06,6.47519626774858e-06,4.131563224968532e-06,0.6854051530110419,0.08123320331982718,False,False
LOGISTIC,SPARSE_DAE,MCC,delta_MCC_vs_const_median,median,108,5.973615056337817e-06,0.0,7.000241873283395e-05,-0.00013398928838481705,0.00020427691328717135,25,33,50,0.23148148148148148,wilcoxon_signed_rank_greater,0.2087509088299841,0.11634447220738828,False,,-6.295541175444261e-06,1.9769105208818904e-05,0.0,0.0,2.8054582996551847e-06,5.420607962342828e-06,6.982817629671814e-06,4.779604311454809e-06,1.0,0.35158047802944686,False,False
