family_unit_used,AEVariant,group1,group2,meandiff,p_adj,lower,upper,reject
seed_median,DVAE,CAUCHY,CONST,-0.0118,0.9992,-0.078,0.0543,False
seed_median,DVAE,CAUCHY,COSINE,-0.0053,1.0,-0.0715,0.0608,False
seed_median,DVAE,CAUCHY,EXPONENTIAL,-0.0357,0.6269,-0.1019,0.0304,False
seed_median,DVAE,CAUCHY,FIBONACCI,-0.0565,0.131,-0.1226,0.0097,False
seed_median,DVAE,CAUCHY,LAPLACE,-0.0231,0.9406,-0.0893,0.0431,False
seed_median,DVAE,CAUCHY,LINEAR,-0.0055,1.0,-0.0716,0.0607,False
seed_median,DVAE,CAUCHY,LOGISTIC,-0.007,1.0,-0.0731,0.0592,False
seed_median,DVAE,CAUCHY,SIGMOID,-0.0045,1.0,-0.0707,0.0616,False
seed_median,DVAE,CONST,COSINE,0.0065,1.0,-0.0597,0.0727,False
seed_median,DVAE,CONST,EXPONENTIAL,-0.0239,0.9291,-0.0901,0.0423,False
seed_median,DVAE,CONST,FIBONACCI,-0.0446,0.358,-0.1108,0.0215,False
seed_median,DVAE,CONST,LAPLACE,-0.0113,0.9994,-0.0774,0.0549,False
seed_median,DVAE,CONST,LINEAR,0.0064,1.0,-0.0598,0.0725,False
seed_median,DVAE,CONST,LOGISTIC,0.0049,1.0,-0.0613,0.071,False
seed_median,DVAE,CONST,SIGMOID,0.0073,1.0,-0.0589,0.0735,False
seed_median,DVAE,COSINE,EXPONENTIAL,-0.0304,0.7879,-0.0966,0.0358,False
seed_median,DVAE,COSINE,FIBONACCI,-0.0511,0.212,-0.1173,0.015,False
seed_median,DVAE,COSINE,LAPLACE,-0.0178,0.9869,-0.084,0.0484,False
seed_median,DVAE,COSINE,LINEAR,-0.0001,1.0,-0.0663,0.066,False
seed_median,DVAE,COSINE,LOGISTIC,-0.0016,1.0,-0.0678,0.0645,False
seed_median,DVAE,COSINE,SIGMOID,0.0008,1.0,-0.0654,0.067,False
seed_median,DVAE,EXPONENTIAL,FIBONACCI,-0.0207,0.9671,-0.0869,0.0454,False
seed_median,DVAE,EXPONENTIAL,LAPLACE,0.0126,0.9987,-0.0535,0.0788,False
seed_median,DVAE,EXPONENTIAL,LINEAR,0.0303,0.7916,-0.0359,0.0964,False
seed_median,DVAE,EXPONENTIAL,LOGISTIC,0.0288,0.8312,-0.0374,0.0949,False
seed_median,DVAE,EXPONENTIAL,SIGMOID,0.0312,0.7658,-0.035,0.0974,False
seed_median,DVAE,FIBONACCI,LAPLACE,0.0334,0.7012,-0.0328,0.0995,False
seed_median,DVAE,FIBONACCI,LINEAR,0.051,0.2145,-0.0152,0.1172,False
seed_median,DVAE,FIBONACCI,LOGISTIC,0.0495,0.2439,-0.0167,0.1157,False
seed_median,DVAE,FIBONACCI,SIGMOID,0.0519,0.1979,-0.0142,0.1181,False
seed_median,DVAE,LAPLACE,LINEAR,0.0176,0.9875,-0.0485,0.0838,False
seed_median,DVAE,LAPLACE,LOGISTIC,0.0161,0.9929,-0.05,0.0823,False
seed_median,DVAE,LAPLACE,SIGMOID,0.0186,0.9828,-0.0476,0.0847,False
seed_median,DVAE,LINEAR,LOGISTIC,-0.0015,1.0,-0.0677,0.0647,False
seed_median,DVAE,LINEAR,SIGMOID,0.0009,1.0,-0.0652,0.0671,False
seed_median,DVAE,LOGISTIC,SIGMOID,0.0024,1.0,-0.0637,0.0686,False
