family_unit_used,AEVariant,group1,group2,meandiff,p_adj,lower,upper,reject
seed_median,FF_DAE,CAUCHY,CONST,-0.0065,0.9586,-0.0264,0.0134,False
seed_median,FF_DAE,CAUCHY,COSINE,0.0021,1.0,-0.0178,0.022,False
seed_median,FF_DAE,CAUCHY,EXPONENTIAL,-0.002,1.0,-0.022,0.0179,False
seed_median,FF_DAE,CAUCHY,FIBONACCI,-0.0015,1.0,-0.0214,0.0184,False
seed_median,FF_DAE,CAUCHY,LAPLACE,-0.0013,1.0,-0.0213,0.0186,False
seed_median,FF_DAE,CAUCHY,LINEAR,0.0017,1.0,-0.0182,0.0217,False
seed_median,FF_DAE,CAUCHY,LOGISTIC,0.0027,0.9999,-0.0173,0.0226,False
seed_median,FF_DAE,CAUCHY,SIGMOID,0.0015,1.0,-0.0184,0.0214,False
seed_median,FF_DAE,CONST,COSINE,0.0086,0.8363,-0.0113,0.0285,False
seed_median,FF_DAE,CONST,EXPONENTIAL,0.0045,0.9958,-0.0155,0.0244,False
seed_median,FF_DAE,CONST,FIBONACCI,0.005,0.9914,-0.0149,0.0249,False
seed_median,FF_DAE,CONST,LAPLACE,0.0052,0.9893,-0.0148,0.0251,False
seed_median,FF_DAE,CONST,LINEAR,0.0082,0.8641,-0.0117,0.0282,False
seed_median,FF_DAE,CONST,LOGISTIC,0.0092,0.7851,-0.0107,0.0291,False
seed_median,FF_DAE,CONST,SIGMOID,0.008,0.8813,-0.0119,0.0279,False
seed_median,FF_DAE,COSINE,EXPONENTIAL,-0.0041,0.9977,-0.0241,0.0158,False
seed_median,FF_DAE,COSINE,FIBONACCI,-0.0036,0.9991,-0.0235,0.0163,False
seed_median,FF_DAE,COSINE,LAPLACE,-0.0034,0.9994,-0.0234,0.0165,False
seed_median,FF_DAE,COSINE,LINEAR,-0.0004,1.0,-0.0203,0.0196,False
seed_median,FF_DAE,COSINE,LOGISTIC,0.0006,1.0,-0.0193,0.0205,False
seed_median,FF_DAE,COSINE,SIGMOID,-0.0006,1.0,-0.0205,0.0193,False
seed_median,FF_DAE,EXPONENTIAL,FIBONACCI,0.0005,1.0,-0.0194,0.0205,False
seed_median,FF_DAE,EXPONENTIAL,LAPLACE,0.0007,1.0,-0.0192,0.0206,False
seed_median,FF_DAE,EXPONENTIAL,LINEAR,0.0038,0.9988,-0.0162,0.0237,False
seed_median,FF_DAE,EXPONENTIAL,LOGISTIC,0.0047,0.9943,-0.0152,0.0246,False
seed_median,FF_DAE,EXPONENTIAL,SIGMOID,0.0035,0.9992,-0.0164,0.0235,False
seed_median,FF_DAE,FIBONACCI,LAPLACE,0.0002,1.0,-0.0198,0.0201,False
seed_median,FF_DAE,FIBONACCI,LINEAR,0.0032,0.9996,-0.0167,0.0232,False
seed_median,FF_DAE,FIBONACCI,LOGISTIC,0.0042,0.9974,-0.0158,0.0241,False
seed_median,FF_DAE,FIBONACCI,SIGMOID,0.003,0.9998,-0.0169,0.0229,False
seed_median,FF_DAE,LAPLACE,LINEAR,0.0031,0.9997,-0.0169,0.023,False
seed_median,FF_DAE,LAPLACE,LOGISTIC,0.004,0.9981,-0.0159,0.0239,False
seed_median,FF_DAE,LAPLACE,SIGMOID,0.0028,0.9998,-0.0171,0.0228,False
seed_median,FF_DAE,LINEAR,LOGISTIC,0.0009,1.0,-0.019,0.0209,False
seed_median,FF_DAE,LINEAR,SIGMOID,-0.0002,1.0,-0.0202,0.0197,False
seed_median,FF_DAE,LOGISTIC,SIGMOID,-0.0012,1.0,-0.0211,0.0187,False
