family_unit_used,AEVariant,group1,group2,meandiff,p_adj,lower,upper,reject
seed_median,RES_DAE,CAUCHY,CONST,-0.0063,0.9999,-0.0515,0.0389,False
seed_median,RES_DAE,CAUCHY,COSINE,0.0022,1.0,-0.043,0.0474,False
seed_median,RES_DAE,CAUCHY,EXPONENTIAL,0.0039,1.0,-0.0412,0.0491,False
seed_median,RES_DAE,CAUCHY,FIBONACCI,0.0036,1.0,-0.0416,0.0488,False
seed_median,RES_DAE,CAUCHY,LAPLACE,0.0031,1.0,-0.0421,0.0483,False
seed_median,RES_DAE,CAUCHY,LINEAR,0.0,1.0,-0.0451,0.0452,False
seed_median,RES_DAE,CAUCHY,LOGISTIC,0.0044,1.0,-0.0408,0.0496,False
seed_median,RES_DAE,CAUCHY,SIGMOID,0.0006,1.0,-0.0445,0.0458,False
seed_median,RES_DAE,CONST,COSINE,0.0085,0.9988,-0.0367,0.0537,False
seed_median,RES_DAE,CONST,EXPONENTIAL,0.0102,0.9956,-0.0349,0.0554,False
seed_median,RES_DAE,CONST,FIBONACCI,0.0099,0.9965,-0.0353,0.0551,False
seed_median,RES_DAE,CONST,LAPLACE,0.0094,0.9976,-0.0358,0.0546,False
seed_median,RES_DAE,CONST,LINEAR,0.0063,0.9999,-0.0388,0.0515,False
seed_median,RES_DAE,CONST,LOGISTIC,0.0107,0.9941,-0.0345,0.0559,False
seed_median,RES_DAE,CONST,SIGMOID,0.0069,0.9997,-0.0382,0.0521,False
seed_median,RES_DAE,COSINE,EXPONENTIAL,0.0017,1.0,-0.0435,0.0469,False
seed_median,RES_DAE,COSINE,FIBONACCI,0.0014,1.0,-0.0438,0.0466,False
seed_median,RES_DAE,COSINE,LAPLACE,0.0009,1.0,-0.0443,0.046,False
seed_median,RES_DAE,COSINE,LINEAR,-0.0022,1.0,-0.0474,0.043,False
seed_median,RES_DAE,COSINE,LOGISTIC,0.0022,1.0,-0.043,0.0474,False
seed_median,RES_DAE,COSINE,SIGMOID,-0.0016,1.0,-0.0468,0.0436,False
seed_median,RES_DAE,EXPONENTIAL,FIBONACCI,-0.0004,1.0,-0.0455,0.0448,False
seed_median,RES_DAE,EXPONENTIAL,LAPLACE,-0.0009,1.0,-0.0461,0.0443,False
seed_median,RES_DAE,EXPONENTIAL,LINEAR,-0.0039,1.0,-0.0491,0.0413,False
seed_median,RES_DAE,EXPONENTIAL,LOGISTIC,0.0005,1.0,-0.0447,0.0457,False
seed_median,RES_DAE,EXPONENTIAL,SIGMOID,-0.0033,1.0,-0.0485,0.0419,False
seed_median,RES_DAE,FIBONACCI,LAPLACE,-0.0005,1.0,-0.0457,0.0447,False
seed_median,RES_DAE,FIBONACCI,LINEAR,-0.0035,1.0,-0.0487,0.0416,False
seed_median,RES_DAE,FIBONACCI,LOGISTIC,0.0008,1.0,-0.0444,0.046,False
seed_median,RES_DAE,FIBONACCI,SIGMOID,-0.003,1.0,-0.0481,0.0422,False
seed_median,RES_DAE,LAPLACE,LINEAR,-0.003,1.0,-0.0482,0.0422,False
seed_median,RES_DAE,LAPLACE,LOGISTIC,0.0013,1.0,-0.0438,0.0465,False
seed_median,RES_DAE,LAPLACE,SIGMOID,-0.0024,1.0,-0.0476,0.0427,False
seed_median,RES_DAE,LINEAR,LOGISTIC,0.0044,1.0,-0.0408,0.0496,False
seed_median,RES_DAE,LINEAR,SIGMOID,0.0006,1.0,-0.0446,0.0458,False
seed_median,RES_DAE,LOGISTIC,SIGMOID,-0.0038,1.0,-0.049,0.0414,False
