Dataset,Seed,AEVariant,PairCoreID,Family,DecayConfigID,DecayRangeName,NoiseType,SelectionMetric,SigmaStart,SigmaEnd,SigmaMin,DecayRate,MCC_decay,MCC_const_median,MCC_const_mean,delta_MCC_vs_const_median,delta_MCC_vs_const_mean,F1_Score_decay,F1_Score_const_median,F1_Score_const_mean,delta_F1_Score_vs_const_median,delta_F1_Score_vs_const_mean,PR_AUC_decay,PR_AUC_const_median,PR_AUC_const_mean,delta_PR_AUC_vs_const_median,delta_PR_AUC_vs_const_mean,ROC_AUC_decay,ROC_AUC_const_median,ROC_AUC_const_mean,delta_ROC_AUC_vs_const_median,delta_ROC_AUC_vs_const_mean,Accuracy_decay,Accuracy_const_median,Accuracy_const_mean,delta_Accuracy_vs_const_median,delta_Accuracy_vs_const_mean,const_rows_collapsed,const_collapse_method_primary
UNSW_NB15,123,DVAE,"Dataset=UNSW_NB15|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(192, 128)|DecUnits=(128, 192)|Latent=64|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",LINEAR,DVAE_LINEAR_R1_gaussian_seed123,R1,gaussian,MCC,0.9,0.8,,,0.4800672236802064,0.4800046849748167,0.44633996829945943,6.253870538969197e-05,0.033727255380746946,0.8247491736199087,0.7996843271463479,0.7836812549902166,0.025064846473560887,0.04106791862969217,0.8190802359940761,0.8183307647512331,0.8111645885616058,0.0007494712428429695,0.007915647432470307,0.7802588063826508,0.7799895017326801,0.7596485371613235,0.0002693046499706586,0.02061026922132725,0.7664648581518997,0.7438778282299064,0.7339814491403733,0.02258702992199324,0.032483409011526354,9,paired_delta_basis_configurable
UNSW_NB15,123,DVAE,"Dataset=UNSW_NB15|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(192, 128)|DecUnits=(128, 192)|Latent=64|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",EXPONENTIAL,DVAE_EXP_R1_gaussian_seed123,R1,gaussian,MCC,0.9,,0.8,3.0,0.4795890191395171,0.4800046849748167,0.44633996829945943,-0.00041566583529956125,0.03324905084005769,0.8245864398881639,0.7996843271463479,0.7836812549902166,0.024902112741816085,0.040905184897947366,0.8190167511500489,0.8183307647512331,0.8111645885616058,0.0006859863988157855,0.007852162588443123,0.7804113894073795,0.7799895017326801,0.7596485371613235,0.0004218876746994171,0.020762852246056007,0.7662514068382039,0.7438778282299064,0.7339814491403733,0.022373578608297473,0.03226995769783059,9,paired_delta_basis_configurable
UNSW_NB15,123,DVAE,"Dataset=UNSW_NB15|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(192, 128)|DecUnits=(128, 192)|Latent=64|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",COSINE,DVAE_COSINE_R1_gaussian_seed123,R1,gaussian,MCC,0.9,0.8,,,0.4800672236802064,0.4800046849748167,0.44633996829945943,6.253870538969197e-05,0.033727255380746946,0.8247491736199087,0.7996843271463479,0.7836812549902166,0.025064846473560887,0.04106791862969217,0.81910634988474,0.8183307647512331,0.8111645885616058,0.0007755851335068398,0.007941761323134178,0.7802836377134764,0.7799895017326801,0.7596485371613235,0.0002941359807963062,0.020635100552152896,0.7664648581518997,0.7438778282299064,0.7339814491403733,0.02258702992199324,0.032483409011526354,9,paired_delta_basis_configurable
UNSW_NB15,123,DVAE,"Dataset=UNSW_NB15|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(192, 128)|DecUnits=(128, 192)|Latent=64|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",FIBONACCI,DVAE_FIB_R1_gaussian_seed123,R1,gaussian,MCC,0.9,0.8,,,0.4799170482094733,0.4800046849748167,0.44633996829945943,-8.763676534340181e-05,0.03357707991001385,0.8247182503858587,0.7996843271463479,0.7836812549902166,0.025033923239510814,0.041036995395642095,0.8189746912864749,0.8183307647512331,0.8111645885616058,0.0006439265352418122,0.00781010272486915,0.7802416819744762,0.7799895017326801,0.7596485371613235,0.0002521802417960739,0.020593144813152664,0.7664066441572555,0.7438778282299064,0.7339814491403733,0.02252881592734901,0.032425195016882125,9,paired_delta_basis_configurable
UNSW_NB15,123,DVAE,"Dataset=UNSW_NB15|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(192, 128)|DecUnits=(128, 192)|Latent=64|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",SIGMOID,DVAE_SIGMOID_R1_gaussian_seed123,R1,gaussian,MCC,0.9,0.8,,,0.4800672236802064,0.4800046849748167,0.44633996829945943,6.253870538969197e-05,0.033727255380746946,0.8247491736199087,0.7996843271463479,0.7836812549902166,0.025064846473560887,0.04106791862969217,0.8190400703718755,0.8183307647512331,0.8111645885616058,0.0007093056206424198,0.007875481810269758,0.7802080847233643,0.7799895017326801,0.7596485371613235,0.00021858299068422404,0.020559547562040814,0.7664648581518997,0.7438778282299064,0.7339814491403733,0.02258702992199324,0.032483409011526354,9,paired_delta_basis_configurable
UNSW_NB15,123,DVAE,"Dataset=UNSW_NB15|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(192, 128)|DecUnits=(128, 192)|Latent=64|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",CAUCHY,DVAE_CAUCHY_R1_gaussian_seed123,R1,gaussian,MCC,0.9,0.8,,,0.4801473650768363,0.4800046849748167,0.44633996829945943,0.0001426801020196211,0.033807396777376875,0.8247834000728067,0.7996843271463479,0.7836812549902166,0.025099072926458854,0.041102145082590136,0.8191359170412034,0.8183307647512331,0.8111645885616058,0.0008051522899702457,0.007971328479597584,0.7803350289009519,0.7799895017326801,0.7596485371613235,0.000345527168271742,0.020686491739628332,0.7665036674816625,0.7438778282299064,0.7339814491403733,0.022625839251756097,0.03252221834128921,9,paired_delta_basis_configurable
UNSW_NB15,123,DVAE,"Dataset=UNSW_NB15|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(192, 128)|DecUnits=(128, 192)|Latent=64|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",LAPLACE,DVAE_LAPLACE_R1_gaussian_seed123,R1,gaussian,MCC,0.9,0.8,,,0.4800672236802064,0.4800046849748167,0.44633996829945943,6.253870538969197e-05,0.033727255380746946,0.8247491736199087,0.7996843271463479,0.7836812549902166,0.025064846473560887,0.04106791862969217,0.819008680010086,0.8183307647512331,0.8111645885616058,0.000677915258852857,0.007844091448480195,0.7802022483971528,0.7799895017326801,0.7596485371613235,0.00021274666447268498,0.020553711235829275,0.7664648581518997,0.7438778282299064,0.7339814491403733,0.02258702992199324,0.032483409011526354,9,paired_delta_basis_configurable
UNSW_NB15,123,DVAE,"Dataset=UNSW_NB15|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(192, 128)|DecUnits=(128, 192)|Latent=64|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",LOGISTIC,DVAE_LOGISTIC_R1_gaussian_seed123,R1,gaussian,MCC,0.9,0.8,,,0.4800672236802064,0.4800046849748167,0.44633996829945943,6.253870538969197e-05,0.033727255380746946,0.8247491736199087,0.7996843271463479,0.7836812549902166,0.025064846473560887,0.04106791862969217,0.8190780598763753,0.8183307647512331,0.8111645885616058,0.0007472951251421556,0.007913471314769494,0.780252384627523,0.7799895017326801,0.7596485371613235,0.0002628828948428863,0.020603847466199476,0.7664648581518997,0.7438778282299064,0.7339814491403733,0.02258702992199324,0.032483409011526354,9,paired_delta_basis_configurable
UNSW_NB15,123,DVAE,"Dataset=UNSW_NB15|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(192, 128)|DecUnits=(128, 192)|Latent=64|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",LINEAR,DVAE_LINEAR_R2_gaussian_seed123,R2,gaussian,MCC,0.9,0.7,,,0.479932032007632,0.4800046849748167,0.44633996829945943,-7.265296718467207e-05,0.03359206370817258,0.8247080408888371,0.7996843271463479,0.7836812549902166,0.02502371374248924,0.04102678589862052,0.8191197013181739,0.8183307647512331,0.8111645885616058,0.00078893656694079,0.007955112756568128,0.7803601068141104,0.7799895017326801,0.7596485371613235,0.00037060508143027526,0.020711569652786865,0.7664066441572555,0.7438778282299064,0.7339814491403733,0.02252881592734901,0.032425195016882125,9,paired_delta_basis_configurable
UNSW_NB15,123,DVAE,"Dataset=UNSW_NB15|Seed=123|AEVariant=DVAE|NoiseType=gaussian|SelectionMetric=MCC|BatchSize=2048|LearningRate=0.001|EncUnits=(192, 128)|DecUnits=(128, 192)|Latent=64|Epochs=20|SparsityL1=NA|AnomalyScoreType=elbo|VAEBeta=0.001",EXPONENTIAL,DVAE_EXP_R2_gaussian_seed123,R2,gaussian,MCC,0.9,,0.7,3.0,0.4800646275349889,0.4800046849748167,0.44633996829945943,5.994256017222144e-05,0.033724659235529475,0.8275961358499259,0.7996843271463479,0.7836812549902166,0.02791180870357801,0.04391488085970929,0.8187678420267953,0.8183307647512331,0.8111645885616058,0.0004370772755621921,0.00760325346518953,0.7801869243666077,0.7799895017326801,0.7596485371613235,0.00019742263392763526,0.020538387205284225,0.7676291380447859,0.7438778282299064,0.7339814491403733,0.023751309814879495,0.03364768890441261,9,paired_delta_basis_configurable
