Family,AEVariant,metric,delta_column,paired_delta_basis_used,n_pairs,mean_delta_MCC,median_delta_MCC,std_delta_MCC,min_delta_MCC,max_delta_MCC,positive_delta_count,negative_delta_count,zero_delta_count,win_rate_vs_const,test_name,p_value,effect_size,improves_vs_const,inferential_note,mean_delta_MCC_ci_low,mean_delta_MCC_ci_high,median_delta_MCC_ci_low,median_delta_MCC_ci_high,mean_delta_Accuracy,mean_delta_F1_Score,mean_delta_ROC_AUC,mean_delta_PR_AUC,holm_p_value,bh_p_value,significant_holm,significant_bh
EXPONENTIAL,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.008522722241780517,0.005374569456782274,0.024281032846819366,-0.048338523473065886,0.055459980904543404,67,41,0,0.6203703703703703,wilcoxon_signed_rank_greater,0.00044589088769161987,0.3510032828997193,True,,0.00407215714529923,0.013424093923374417,0.0013976475838599622,0.010087745509989228,-0.005241415591863876,-0.012471417475558676,0.011362844067346375,0.008355548296210678,0.014268508406131836,0.014268508406131836,True,True
LINEAR,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.006282075038498426,0.0014241721216239345,0.026650347349512528,-0.05040355632141136,0.06126796392499034,67,41,0,0.6203703703703703,wilcoxon_signed_rank_greater,0.01815262330292265,0.23572206980550336,True,,0.001852712759344638,0.011249035055577313,0.0003631394005260511,0.003932398535607395,-0.004529012848762959,-0.010637756793194189,0.006887441331974601,0.004807770316211805,0.49012082917891153,0.09310526235890232,False,False
LOGISTIC,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.006140091935732616,0.0020913610420119078,0.030080630533784562,-0.09962167184675563,0.059500238786446835,63,45,0,0.5833333333333334,wilcoxon_signed_rank_greater,0.02692915256144365,0.20412111802750785,True,,0.0005502701689554597,0.012055751409880645,-0.0005587688571201399,0.007282917183667894,-0.003571895720768351,-0.008996380028890225,0.0071287863267062955,0.004381291724214836,0.6732288140360912,0.09310526235890232,False,False
LAPLACE,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.006053768920829643,0.0026371781117719983,0.02879433805164784,-0.06735720274101575,0.05827576771848941,63,45,0,0.5833333333333334,wilcoxon_signed_rank_greater,0.02507830910803734,0.2102416422895666,True,,0.0009123269646571088,0.011616122724589182,-0.0007549049324879764,0.008026493051316974,-0.004495953049335317,-0.01043637740103777,0.007997387425943511,0.005116623729101343,0.6520360368089708,0.09310526235890232,False,False
COSINE,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.006011180460763832,0.0026657218583866493,0.0287765659598007,-0.06394087809659588,0.05953629913444081,63,45,0,0.5833333333333334,wilcoxon_signed_rank_greater,0.027896518282890765,0.2088915150248377,True,,0.0009402751194907907,0.011589894191230707,-0.00043494620998729694,0.007746280405235768,-0.0045248803738345,-0.010447176926826528,0.007486998496994151,0.005241454907795611,0.6732288140360912,0.09310526235890232,False,False
FIBONACCI,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.005827578564006679,0.003356557716025055,0.02729161885931344,-0.08918490064724832,0.05800805895978334,64,44,0,0.5925925925925926,wilcoxon_signed_rank_greater,0.013876035111203857,0.21352997027526824,True,,0.0008532902835623651,0.011201295302774542,3.113036060042873e-05,0.008075491769626082,-0.004994006114625554,-0.011135268711348923,0.010371245891682652,0.00802422684371193,0.388528983113708,0.0888066247117047,False,False
CAUCHY,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.004972807725786261,0.002296702226988523,0.026768264247549824,-0.09084840261367944,0.05815433086179611,62,46,0,0.5740740740740741,wilcoxon_signed_rank_greater,0.03822615520440615,0.18577251328709757,True,,0.00026887174746632636,0.010041284061593238,-0.0016847185996947509,0.00701690100996718,-0.005640289258871203,-0.011950855020633434,0.00731189625259784,0.004748288517173181,0.8409754144969352,0.11120336059463608,False,False
SIGMOID,RES_DAE,MCC,delta_MCC_vs_const_median,median,108,0.0039274289203699055,0.0009563237717796769,0.029250020454338676,-0.061130157365485216,0.061146178085216274,57,51,0,0.5277777777777778,wilcoxon_signed_rank_greater,0.16561233036425937,0.13427098030124887,False,,-0.0009172523909227957,0.00949746553929321,-0.003011125127303418,0.00439981001092693,-0.005472654515034342,-0.01129277806225787,0.006388572190548803,0.0037307905368584387,1.0,0.4076611208966385,False,False
COSINE,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.0027667169052546714,0.0019984774795498983,0.01907493102337433,-0.06936699660745316,0.04796275159226626,68,40,0,0.6296296296296297,wilcoxon_signed_rank_greater,0.005016071198212242,0.14504466106426833,True,,-0.0008464745751391034,0.006305072214317841,0.0006638428114053574,0.0037696593386279398,-0.0002896325906377471,0.0007525086835039062,0.006955985309954093,0.007231479325445415,0.15549820714457951,0.05443329071152757,False,False
LOGISTIC,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.0025119338776521194,0.00218476844543386,0.020360845423096907,-0.09898416461341736,0.04365904762452866,69,39,0,0.6388888888888888,wilcoxon_signed_rank_greater,0.00629739950056916,0.12337080437137767,True,,-0.0013451431042622339,0.006117574645669353,0.0005090470699400385,0.003356292507003376,-7.67202954108545e-05,0.0011908984335165856,0.006801230304386442,0.0071279551712184275,0.1889219850170748,0.05443329071152757,False,False
LINEAR,FF_DAE,MCC,delta_MCC_vs_const_median,median,108,0.002260403223012778,0.0023779083041486904,0.020356132330716956,-0.08323479201737305,0.05257709544509015,70,38,0,0.6481481481481481,wilcoxon_signed_rank_greater,0.006804161338940946,0.11104286345647482,True,,-0.0016548830348452142,0.0059517187348074015,0.0009010607231188086,0.003434600597052149,-0.0003108339837489445,0.0008913479671561537,0.006343617815140155,0.006183409601567943,0.19732067882928744,0.05443329071152757,False,False
